system,symbol,decision_session,prompt_action,rl_action,override_status,pm_action,pm_target_weight,rl_pm_status,executed_action,executed_fill,pm_execution_consistent,rebalance_status
M2,AAPL,2024-01-05,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-01-12,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-01-19,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-01-26,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-02-02,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-02-09,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-02-16,SELL,HOLD,OVERRIDE,SELL,0.0,MEDIATED,NO_FILL,0,True,noop
M2,AAPL,2024-02-23,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-03-01,SELL,HOLD,OVERRIDE,SELL,0.0,MEDIATED,NO_FILL,0,True,noop
M2,AAPL,2024-03-08,SELL,BUY,OVERRIDE,SELL,0.0,MEDIATED,NO_FILL,0,True,noop
M2,AAPL,2024-03-15,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-03-22,SELL,BUY,OVERRIDE,SELL,0.0,MEDIATED,NO_FILL,0,True,noop
M2,AAPL,2024-03-28,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-04-05,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-04-12,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-04-19,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-04-26,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-05-03,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-05-10,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-05-17,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-05-24,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-05-31,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-06-07,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-06-14,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-06-21,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AAPL,2024-06-28,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AMZN,2024-01-05,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
M2,AMZN,2024-01-12,HOLD,HOLD,RETAIN,HOLD,0.0,AGREE,NO_FILL,0,True,noop
