research_question,contrast,role,scope,metric,delta,storage_unit,display_unit,direction_metadata
RQ1,M1-M0,PRIMARY,aggregate,cumulative_return,0.02497948354748547,decimal_fraction,percentage_points,higher
RQ1,M1-M0,PRIMARY,aggregate,sharpe_ratio,0.5455082119948722,ratio,absolute_ratio_difference,higher
RQ1,M1-M0,PRIMARY,aggregate,maximum_drawdown,-0.0058544985569281005,decimal_fraction,percentage_points,lower
RQ1,M1-M0,PRIMARY,aggregate,calmar_ratio,2.1272211634529015,ratio,absolute_ratio_difference,higher
RQ1,M1-M0,PRIMARY,aggregate,average_exposure,-0.06138085009780836,decimal_fraction,percentage_points,descriptive
RQ1,M1-M0,PRIMARY,aggregate,turnover,-0.6635045108005697,ratio,absolute_ratio_difference,descriptive
RQ1,M1-M0,PRIMARY,aggregate,total_transaction_cost,-210.1885506813278,USD,USD_difference,lower_cost_only
RQ1,M1-M0,PRIMARY,AAPL,cumulative_return,0.11016125221419637,decimal_fraction,percentage_points,higher
RQ1,M1-M0,PRIMARY,AAPL,sharpe_ratio,0.4236869204940903,ratio,absolute_ratio_difference,higher
RQ1,M1-M0,PRIMARY,AAPL,maximum_drawdown,0.017650141076196113,decimal_fraction,percentage_points,lower
RQ1,M1-M0,PRIMARY,AAPL,calmar_ratio,1.8542877574234033,ratio,absolute_ratio_difference,higher
RQ1,M1-M0,PRIMARY,AAPL,average_exposure,0.2396213627327146,decimal_fraction,percentage_points,descriptive
RQ1,M1-M0,PRIMARY,AAPL,turnover,-0.02469079088790338,ratio,absolute_ratio_difference,descriptive
RQ1,M1-M0,PRIMARY,AAPL,total_transaction_cost,-3.979039320256561e-13,USD,USD_difference,lower_cost_only
RQ1,M1-M0,PRIMARY,AMZN,cumulative_return,-0.08327291332910258,decimal_fraction,percentage_points,higher
RQ1,M1-M0,PRIMARY,AMZN,sharpe_ratio,-0.6909160180117524,ratio,absolute_ratio_difference,higher
RQ1,M1-M0,PRIMARY,AMZN,maximum_drawdown,-0.007014224123361723,decimal_fraction,percentage_points,lower
RQ1,M1-M0,PRIMARY,AMZN,calmar_ratio,-2.1508589389070814,ratio,absolute_ratio_difference,higher
RQ1,M1-M0,PRIMARY,AMZN,average_exposure,-0.26399999999999996,decimal_fraction,percentage_points,descriptive
RQ1,M1-M0,PRIMARY,AMZN,turnover,-2.010033045926008,ratio,absolute_ratio_difference,descriptive
RQ1,M1-M0,PRIMARY,AMZN,total_transaction_cost,-215.01383888657503,USD,USD_difference,lower_cost_only
RQ1,M1-M0,PRIMARY,JPM,cumulative_return,0.04805011175736196,decimal_fraction,percentage_points,higher
RQ1,M1-M0,PRIMARY,JPM,sharpe_ratio,1.877304358569408,ratio,absolute_ratio_difference,higher
RQ1,M1-M0,PRIMARY,JPM,maximum_drawdown,-0.060377469389620186,decimal_fraction,percentage_points,lower
RQ1,M1-M0,PRIMARY,JPM,calmar_ratio,11.51798508859069,ratio,absolute_ratio_difference,higher
RQ1,M1-M0,PRIMARY,JPM,average_exposure,-0.15976391302613968,decimal_fraction,percentage_points,descriptive
RQ1,M1-M0,PRIMARY,JPM,turnover,0.024261651326924927,ratio,absolute_ratio_difference,descriptive
RQ1,M1-M0,PRIMARY,JPM,total_transaction_cost,4.825288205247659,USD,USD_difference,lower_cost_only
RQ2,M2-M1,PRIMARY,aggregate,cumulative_return,-0.14484307160328358,decimal_fraction,percentage_points,higher
RQ2,M2-M1,PRIMARY,aggregate,sharpe_ratio,-2.6636462361475077,ratio,absolute_ratio_difference,higher
RQ2,M2-M1,PRIMARY,aggregate,maximum_drawdown,0.0004692696644739147,decimal_fraction,percentage_points,lower
RQ2,M2-M1,PRIMARY,aggregate,calmar_ratio,-7.293348782270974,ratio,absolute_ratio_difference,higher
RQ2,M2-M1,PRIMARY,aggregate,average_exposure,-0.1278427634977245,decimal_fraction,percentage_points,descriptive
RQ2,M2-M1,PRIMARY,aggregate,turnover,0.34371063454271633,ratio,absolute_ratio_difference,descriptive
RQ2,M2-M1,PRIMARY,aggregate,total_transaction_cost,85.20316346818493,USD,USD_difference,lower_cost_only
RQ2,M2-M1,PRIMARY,AAPL,cumulative_return,-0.29085068064816744,decimal_fraction,percentage_points,higher
RQ2,M2-M1,PRIMARY,AAPL,sharpe_ratio,,ratio,absolute_ratio_difference,higher
RQ2,M2-M1,PRIMARY,AAPL,maximum_drawdown,-0.060018686681325484,decimal_fraction,percentage_points,lower
RQ2,M2-M1,PRIMARY,AAPL,calmar_ratio,,ratio,absolute_ratio_difference,higher
RQ2,M2-M1,PRIMARY,AAPL,average_exposure,-0.4556213627327146,decimal_fraction,percentage_points,descriptive
RQ2,M2-M1,PRIMARY,AAPL,turnover,-0.9587305999274173,ratio,absolute_ratio_difference,descriptive
RQ2,M2-M1,PRIMARY,AAPL,total_transaction_cost,-99.9250499687671,USD,USD_difference,lower_cost_only
RQ2,M2-M1,PRIMARY,AMZN,cumulative_return,0.0008804469471930254,decimal_fraction,percentage_points,higher
RQ2,M2-M1,PRIMARY,AMZN,sharpe_ratio,0.028024862387973415,ratio,absolute_ratio_difference,higher
RQ2,M2-M1,PRIMARY,AMZN,maximum_drawdown,0.04092837841352481,decimal_fraction,percentage_points,lower
RQ2,M2-M1,PRIMARY,AMZN,calmar_ratio,-0.6458791619372939,ratio,absolute_ratio_difference,higher
RQ2,M2-M1,PRIMARY,AMZN,average_exposure,0.15199999999999997,decimal_fraction,percentage_points,descriptive
RQ2,M2-M1,PRIMARY,AMZN,turnover,1.9807160362449117,ratio,absolute_ratio_difference,descriptive
RQ2,M2-M1,PRIMARY,AMZN,total_transaction_cost,198.93715484352103,USD,USD_difference,lower_cost_only
RQ2,M2-M1,PRIMARY,JPM,cumulative_return,-0.144558981108876,decimal_fraction,percentage_points,higher
RQ2,M2-M1,PRIMARY,JPM,sharpe_ratio,-3.3505247601972816,ratio,absolute_ratio_difference,higher
RQ2,M2-M1,PRIMARY,JPM,maximum_drawdown,0.042555249295402886,decimal_fraction,percentage_points,lower
RQ2,M2-M1,PRIMARY,JPM,calmar_ratio,-14.081361520458524,ratio,absolute_ratio_difference,higher
RQ2,M2-M1,PRIMARY,JPM,average_exposure,-0.07990692776045902,decimal_fraction,percentage_points,descriptive
RQ2,M2-M1,PRIMARY,JPM,turnover,0.05560250098327546,ratio,absolute_ratio_difference,descriptive
RQ2,M2-M1,PRIMARY,JPM,total_transaction_cost,-13.808941406569033,USD,USD_difference,lower_cost_only
RQ3a,A1-M2,PRIMARY,aggregate,cumulative_return,0.1391080922810759,decimal_fraction,percentage_points,higher
RQ3a,A1-M2,PRIMARY,aggregate,sharpe_ratio,2.1654827808844472,ratio,absolute_ratio_difference,higher
RQ3a,A1-M2,PRIMARY,aggregate,maximum_drawdown,-0.0005437129579962674,decimal_fraction,percentage_points,lower
RQ3a,A1-M2,PRIMARY,aggregate,calmar_ratio,6.999213516555537,ratio,absolute_ratio_difference,higher
RQ3a,A1-M2,PRIMARY,aggregate,average_exposure,0.32165578915380666,decimal_fraction,percentage_points,descriptive
RQ3a,A1-M2,PRIMARY,aggregate,turnover,-1.0449027254096068,ratio,absolute_ratio_difference,descriptive
RQ3a,A1-M2,PRIMARY,aggregate,total_transaction_cost,-298.05484631568004,USD,USD_difference,lower_cost_only
RQ3a,A1-M2,PRIMARY,AAPL,cumulative_return,0.0,decimal_fraction,percentage_points,higher
RQ3a,A1-M2,PRIMARY,AAPL,sharpe_ratio,,ratio,absolute_ratio_difference,higher
RQ3a,A1-M2,PRIMARY,AAPL,maximum_drawdown,0.0,decimal_fraction,percentage_points,lower
