system,scope,decisions,override_count,override_rate,retain_count,retain_rate,rl_pm_mediation_count,rl_pm_mediation_rate,pm_execution_consistency_count,pm_execution_consistency_rate,prompt_BUY,prompt_HOLD,prompt_SELL,rl_BUY,rl_HOLD,rl_SELL,pm_BUY,pm_HOLD,pm_SELL,actual_fill_count
M2,aggregate,78,19,0.24358974358974358,59,0.7564102564102564,19,0.24358974358974358,78,1.0,5,67,6,20,58,0,6,65,7,5
M2,AAPL,26,4,0.15384615384615385,22,0.8461538461538461,4,0.15384615384615385,26,1.0,0,22,4,2,24,0,0,22,4,0
M2,AMZN,26,13,0.5,13,0.5,12,0.46153846153846156,26,1.0,3,22,1,16,10,0,4,21,1,3
M2,JPM,26,2,0.07692307692307693,24,0.9230769230769231,3,0.11538461538461539,26,1.0,2,23,1,2,24,0,2,22,2,2
A1,aggregate,78,20,0.2564102564102564,58,0.7435897435897436,20,0.2564102564102564,78,1.0,8,64,6,25,50,3,8,64,6,2
A1,AAPL,26,3,0.11538461538461539,23,0.8846153846153846,3,0.11538461538461539,26,1.0,0,20,6,2,21,3,0,20,6,0
A1,AMZN,26,15,0.5769230769230769,11,0.4230769230769231,15,0.5769230769230769,26,1.0,5,21,0,20,6,0,5,21,0,1
A1,JPM,26,2,0.07692307692307693,24,0.9230769230769231,2,0.07692307692307693,26,1.0,3,23,0,3,23,0,3,23,0,1
A2,aggregate,78,0,0.0,78,1.0,0,0.0,78,1.0,6,66,6,6,66,6,6,66,6,1
A2,AAPL,26,0,0.0,26,1.0,0,0.0,26,1.0,0,21,5,0,21,5,0,21,5,0
A2,AMZN,26,0,0.0,26,1.0,0,0.0,26,1.0,6,20,0,6,20,0,6,20,0,1
A2,JPM,26,0,0.0,26,1.0,0,0.0,26,1.0,0,25,1,0,25,1,0,25,1,0
