experiment_id,run_id,case_id,symbol,decision_session,decision_time_utc,execution_session,action,decision_status,rebalance_status,provider,quick_model,deep_model,thinking_mode,temperature,research_depth,debate_rounds,risk_rounds,graph_config_sha256,portfolio_equity_before,portfolio_weight_before,report_path,source_audit_path,cache_key,cache_status,wall_clock_seconds,prompt_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,completion_tokens,reasoning_tokens,total_tokens
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-05,AAPL,2024-01-05,2024-01-05T21:00:00+00:00,2024-01-08,SELL,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-01-05/reports,strategy/cases/AAPL/2024-01-05/source_audit.json,da6ab2971bd2dbc228e64a53b97f11bd4906562534e7a55526afed2fdee501aa,hit,0.08676902499999528,302461,98176,204285,36337,,338798
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-12,AAPL,2024-01-12,2024-01-12T21:00:00+00:00,2024-01-16,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-01-12/reports,strategy/cases/AAPL/2024-01-12/source_audit.json,f9a4dd5effc83f6cf91c2305a743aea6750d4591995aed82c34c561b1e0d3bcc,hit,0.006737312000012707,324932,103808,221124,40528,,365460
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-19,AAPL,2024-01-19,2024-01-19T21:00:00+00:00,2024-01-22,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-01-19/reports,strategy/cases/AAPL/2024-01-19/source_audit.json,305c2d3a696cdabbe8faf6a2afca1b3444cb8feef0df6b3980669ba2fb521124,hit,0.006618785000000571,280620,88320,192300,35087,,315707
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-01-26,AAPL,2024-01-26,2024-01-26T21:00:00+00:00,2024-01-29,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-01-26/reports,strategy/cases/AAPL/2024-01-26/source_audit.json,6fb874db1569fe633c661072cdd15b690ce301b65243980932afcbf779ba30cd,hit,0.006679188000020986,315244,108800,206444,38884,,354128
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-02-02,AAPL,2024-02-02,2024-02-02T21:00:00+00:00,2024-02-05,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-02-02/reports,strategy/cases/AAPL/2024-02-02/source_audit.json,2e5fdd180e9acf59bdc0716c7cf46c13b0ec9c7186afbc5d49c169bf17c034ff,hit,0.007083712999985892,310011,94592,215419,38062,,348073
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-02-09,AAPL,2024-02-09,2024-02-09T21:00:00+00:00,2024-02-12,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-02-09/reports,strategy/cases/AAPL/2024-02-09/source_audit.json,4bf0689d8dd314c783d2ec523e1c5e7f19f81c021a21e2b2cb5456a23473d5a8,hit,0.006815775999996276,310789,105216,205573,36515,,347304
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-02-16,AAPL,2024-02-16,2024-02-16T21:00:00+00:00,2024-02-20,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-02-16/reports,strategy/cases/AAPL/2024-02-16/source_audit.json,5dd5ec59a6c494175c922ca56f0aeee3f86c749334ef2a31ac89c2946495dc1c,hit,0.00685299800002781,309861,109056,200805,35468,,345329
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-02-23,AAPL,2024-02-23,2024-02-23T21:00:00+00:00,2024-02-26,SELL,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-02-23/reports,strategy/cases/AAPL/2024-02-23/source_audit.json,a24beed59a9cd43da17ba36727913d245648e30638896977d2a309539526d060,hit,0.006856279000004406,317377,104320,213057,37498,,354875
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-03-01,AAPL,2024-03-01,2024-03-01T21:00:00+00:00,2024-03-04,SELL,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-03-01/reports,strategy/cases/AAPL/2024-03-01/source_audit.json,2f1c940d85919f8a86b3a9baec97cb86db3a09a57cb95eb5c464bce24225bca7,hit,0.006903941999979679,295123,104832,190291,33742,,328865
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-03-08,AAPL,2024-03-08,2024-03-08T21:00:00+00:00,2024-03-11,SELL,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-03-08/reports,strategy/cases/AAPL/2024-03-08/source_audit.json,46dbebbb67ffef571322abcb36d91c50081aa8cddbb02dd1297a1c869e7cce26,hit,0.006953434999985575,316360,111744,204616,36983,,353343
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-03-15,AAPL,2024-03-15,2024-03-15T20:00:00+00:00,2024-03-18,SELL,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-03-15/reports,strategy/cases/AAPL/2024-03-15/source_audit.json,9c63b53ae75bd4b5c59ab8b699d9436e1ec98936f277af202b3d7fb592d6670a,hit,0.007055590999982542,332891,112000,220891,40281,,373172
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-03-22,AAPL,2024-03-22,2024-03-22T20:00:00+00:00,2024-03-25,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-03-22/reports,strategy/cases/AAPL/2024-03-22/source_audit.json,b1c52e6ff72e03debd93f47e900ef0607a84318d87d37420d3e50763cd01bbdd,hit,0.007008798000015304,326823,95232,231591,43586,,370409
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-03-28,AAPL,2024-03-28,2024-03-28T20:00:00+00:00,2024-04-01,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-03-28/reports,strategy/cases/AAPL/2024-03-28/source_audit.json,63dc4590bd5f805ced2a6a1003ffae16e84a237644cb2fc276c232ba21656b79,hit,0.00699470699998983,301549,91392,210157,38603,,340152
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-04-05,AAPL,2024-04-05,2024-04-05T20:00:00+00:00,2024-04-08,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-04-05/reports,strategy/cases/AAPL/2024-04-05/source_audit.json,5d5edd0f6e66b5e428638320b4080c9b6e6a2fb33cae9f01f5c73575d90bc225,hit,0.007117845000010448,317137,96896,220241,41900,,359037
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-04-12,AAPL,2024-04-12,2024-04-12T20:00:00+00:00,2024-04-15,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-04-12/reports,strategy/cases/AAPL/2024-04-12/source_audit.json,4ad31729a25a7feadc0ab527b8487d2132f85687826ea791d520ba9bfb13d722,hit,0.007198778999992328,339595,112896,226699,41549,,381144
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-04-19,AAPL,2024-04-19,2024-04-19T20:00:00+00:00,2024-04-22,SELL,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-04-19/reports,strategy/cases/AAPL/2024-04-19/source_audit.json,2c799c67b27b4fa4acda8046125b5e472fc0efff5398df927dd5cb2f708483d5,hit,0.007321587000006957,341588,115072,226516,42855,,384443
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-04-26,AAPL,2024-04-26,2024-04-26T20:00:00+00:00,2024-04-29,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-04-26/reports,strategy/cases/AAPL/2024-04-26/source_audit.json,7f139c37ae98314b38d433726b221f38fe0c04d209e07cb8ea1f378269b55f5a,hit,0.007155656999998428,298263,87552,210711,37479,,335742
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-05-03,AAPL,2024-05-03,2024-05-03T20:00:00+00:00,2024-05-06,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-05-03/reports,strategy/cases/AAPL/2024-05-03/source_audit.json,35637f5bda627cf094f1ab6b1e21159aebdf67dafe370ace01784f0c84f6fb49,hit,0.007268223000011176,326639,91648,234991,44075,,370714
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-05-10,AAPL,2024-05-10,2024-05-10T20:00:00+00:00,2024-05-13,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-05-10/reports,strategy/cases/AAPL/2024-05-10/source_audit.json,850c0a4678cbed3f9a05085b0d93e54ea985ba7ac9e86597a16f0f25187b0182,hit,0.007307955999976912,301690,95104,206586,37831,,339521
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-05-17,AAPL,2024-05-17,2024-05-17T20:00:00+00:00,2024-05-20,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-05-17/reports,strategy/cases/AAPL/2024-05-17/source_audit.json,1b1d1db6c02f5b4dc64f66313cc2485a0f2ba00c46fdac8f0e604d87c6f62e49,hit,0.0072647529999869676,309177,95872,213305,39724,,348901
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-05-24,AAPL,2024-05-24,2024-05-24T20:00:00+00:00,2024-05-28,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-05-24/reports,strategy/cases/AAPL/2024-05-24/source_audit.json,d7d89ff2c9ee9b966d54f33212348ad61c66aca8bcc9c5e31b08d9b96225e477,hit,0.007348709000012832,308690,84224,224466,41333,,350023
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-05-31,AAPL,2024-05-31,2024-05-31T20:00:00+00:00,2024-06-03,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-05-31/reports,strategy/cases/AAPL/2024-05-31/source_audit.json,513a8b2f2084265e5d15a4e2be2b7eef979829effce26c8f9f0c16abf61ae112,hit,0.007386570999983633,307804,110976,196828,36162,,343966
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-06-07,AAPL,2024-06-07,2024-06-07T20:00:00+00:00,2024-06-10,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-06-07/reports,strategy/cases/AAPL/2024-06-07/source_audit.json,d04e13e8d423342dde9b7c350bf4d68ca2479bcdd5ff9dc05bca67c1324dc19e,hit,0.007585352000006651,319065,107904,211161,38054,,357119
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-06-14,AAPL,2024-06-14,2024-06-14T20:00:00+00:00,2024-06-17,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-06-14/reports,strategy/cases/AAPL/2024-06-14/source_audit.json,6bf2bbb8cdf53d745a016967d2380f2a6b4df4e1511ef9427a3ccf8af04e1bb6,hit,0.007524668999991491,306009,101376,204633,37086,,343095
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-06-21,AAPL,2024-06-21,2024-06-21T20:00:00+00:00,2024-06-24,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-06-21/reports,strategy/cases/AAPL/2024-06-21/source_audit.json,1d01e14b15c99a7cb290eb166369a4d8e40ac64156c5da4c1fa9fe65fa43914d,hit,0.007469294999992826,333327,105984,227343,40762,,374089
A1_no_online_adaptation_2024H1,20260817T221009081674Z_11ae1ce4,AAPL:2024-06-28,AAPL,2024-06-28,2024-06-28T20:00:00+00:00,2024-07-01,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fa54d39830a9c1cf649a7bca2be917d5307f99fbfe3ca26da98a622d25c523b,100000.0,0.0,strategy/cases/AAPL/2024-06-28/reports,strategy/cases/AAPL/2024-06-28/source_audit.json,9062ef4979a8733bb4a11c24be5e16fdea482b18f476f1f89f2057b46ac9b220,hit,0.0075600810000082674,320113,90880,229233,43261,,363374
