week_start,decision_session,decision_close_utc,decision_close_ny,execution_session,execution_open_utc,execution_open_ny
2024-01-01,2024-01-05,2024-01-05T21:00:00+00:00,2024-01-05T16:00:00-05:00,2024-01-08,2024-01-08T14:30:00+00:00,2024-01-08T09:30:00-05:00
2024-01-08,2024-01-12,2024-01-12T21:00:00+00:00,2024-01-12T16:00:00-05:00,2024-01-16,2024-01-16T14:30:00+00:00,2024-01-16T09:30:00-05:00
2024-01-15,2024-01-19,2024-01-19T21:00:00+00:00,2024-01-19T16:00:00-05:00,2024-01-22,2024-01-22T14:30:00+00:00,2024-01-22T09:30:00-05:00
2024-01-22,2024-01-26,2024-01-26T21:00:00+00:00,2024-01-26T16:00:00-05:00,2024-01-29,2024-01-29T14:30:00+00:00,2024-01-29T09:30:00-05:00
2024-01-29,2024-02-02,2024-02-02T21:00:00+00:00,2024-02-02T16:00:00-05:00,2024-02-05,2024-02-05T14:30:00+00:00,2024-02-05T09:30:00-05:00
2024-02-05,2024-02-09,2024-02-09T21:00:00+00:00,2024-02-09T16:00:00-05:00,2024-02-12,2024-02-12T14:30:00+00:00,2024-02-12T09:30:00-05:00
2024-02-12,2024-02-16,2024-02-16T21:00:00+00:00,2024-02-16T16:00:00-05:00,2024-02-20,2024-02-20T14:30:00+00:00,2024-02-20T09:30:00-05:00
2024-02-19,2024-02-23,2024-02-23T21:00:00+00:00,2024-02-23T16:00:00-05:00,2024-02-26,2024-02-26T14:30:00+00:00,2024-02-26T09:30:00-05:00
2024-02-26,2024-03-01,2024-03-01T21:00:00+00:00,2024-03-01T16:00:00-05:00,2024-03-04,2024-03-04T14:30:00+00:00,2024-03-04T09:30:00-05:00
2024-03-04,2024-03-08,2024-03-08T21:00:00+00:00,2024-03-08T16:00:00-05:00,2024-03-11,2024-03-11T13:30:00+00:00,2024-03-11T09:30:00-04:00
2024-03-11,2024-03-15,2024-03-15T20:00:00+00:00,2024-03-15T16:00:00-04:00,2024-03-18,2024-03-18T13:30:00+00:00,2024-03-18T09:30:00-04:00
2024-03-18,2024-03-22,2024-03-22T20:00:00+00:00,2024-03-22T16:00:00-04:00,2024-03-25,2024-03-25T13:30:00+00:00,2024-03-25T09:30:00-04:00
2024-03-25,2024-03-28,2024-03-28T20:00:00+00:00,2024-03-28T16:00:00-04:00,2024-04-01,2024-04-01T13:30:00+00:00,2024-04-01T09:30:00-04:00
2024-04-01,2024-04-05,2024-04-05T20:00:00+00:00,2024-04-05T16:00:00-04:00,2024-04-08,2024-04-08T13:30:00+00:00,2024-04-08T09:30:00-04:00
2024-04-08,2024-04-12,2024-04-12T20:00:00+00:00,2024-04-12T16:00:00-04:00,2024-04-15,2024-04-15T13:30:00+00:00,2024-04-15T09:30:00-04:00
2024-04-15,2024-04-19,2024-04-19T20:00:00+00:00,2024-04-19T16:00:00-04:00,2024-04-22,2024-04-22T13:30:00+00:00,2024-04-22T09:30:00-04:00
2024-04-22,2024-04-26,2024-04-26T20:00:00+00:00,2024-04-26T16:00:00-04:00,2024-04-29,2024-04-29T13:30:00+00:00,2024-04-29T09:30:00-04:00
2024-04-29,2024-05-03,2024-05-03T20:00:00+00:00,2024-05-03T16:00:00-04:00,2024-05-06,2024-05-06T13:30:00+00:00,2024-05-06T09:30:00-04:00
2024-05-06,2024-05-10,2024-05-10T20:00:00+00:00,2024-05-10T16:00:00-04:00,2024-05-13,2024-05-13T13:30:00+00:00,2024-05-13T09:30:00-04:00
2024-05-13,2024-05-17,2024-05-17T20:00:00+00:00,2024-05-17T16:00:00-04:00,2024-05-20,2024-05-20T13:30:00+00:00,2024-05-20T09:30:00-04:00
2024-05-20,2024-05-24,2024-05-24T20:00:00+00:00,2024-05-24T16:00:00-04:00,2024-05-28,2024-05-28T13:30:00+00:00,2024-05-28T09:30:00-04:00
2024-05-27,2024-05-31,2024-05-31T20:00:00+00:00,2024-05-31T16:00:00-04:00,2024-06-03,2024-06-03T13:30:00+00:00,2024-06-03T09:30:00-04:00
2024-06-03,2024-06-07,2024-06-07T20:00:00+00:00,2024-06-07T16:00:00-04:00,2024-06-10,2024-06-10T13:30:00+00:00,2024-06-10T09:30:00-04:00
2024-06-10,2024-06-14,2024-06-14T20:00:00+00:00,2024-06-14T16:00:00-04:00,2024-06-17,2024-06-17T13:30:00+00:00,2024-06-17T09:30:00-04:00
2024-06-17,2024-06-21,2024-06-21T20:00:00+00:00,2024-06-21T16:00:00-04:00,2024-06-24,2024-06-24T13:30:00+00:00,2024-06-24T09:30:00-04:00
2024-06-24,2024-06-28,2024-06-28T20:00:00+00:00,2024-06-28T16:00:00-04:00,2024-07-01,2024-07-01T13:30:00+00:00,2024-07-01T09:30:00-04:00
