symbol,decision_session,input_start_session,input_end_session,n_returns,input_sha256,fit_status,converged,ar1,ma1,constant,sigma2,forecast_r1,forecast_r2,forecast_r3,forecast_r4,forecast_r5,forecast_5d_cumulative,target_weight,action,model_failure
AAPL,2024-01-05,2023-01-05,2024-01-05,252,504a08317293e8dec24628f3370371a3b9d122e47217749230815e6c63fb1810,success,True,-0.32521189910750553,0.41415062751827597,0.001528772981233656,0.00016074385170846117,0.0016389424810836232,0.0014929445489637243,0.0015404248137342051,0.0015249836666580698,0.0015300053114230981,0.0077512161158672654,1.0,BUY,False
AAPL,2024-01-12,2023-01-12,2024-01-12,252,ac5b2245e5f36dbcf73fa0aa51ab927b7e644885325b1317f9dc1eb8a5c9ca45,success,True,-0.5049624167963044,0.5865639792497287,0.0014138733766476952,0.00015568758559657934,0.0020295969915040523,0.001102956092011272,0.0015708749201214479,0.001334593497814439,0.0014539067358666543,0.007514176157934038,1.0,HOLD,False
AAPL,2024-01-19,2023-01-19,2024-01-19,252,3e4d1e3c4a4bc46a1fd72f89a51ad39e11411466c7bb00da70f85171dab05439,success,True,-0.5159321875697178,0.5960967892638003,0.0014816949215780036,0.0001602686301921806,0.0012456662886837968,0.0016034696904762015,0.0014188673986695595,0.0015141096629117438,0.0014649711131721804,0.007268087258241129,1.0,HOLD,False
AAPL,2024-01-26,2023-01-26,2024-01-26,252,85dc0270ef4c47f33b5ef43472bbf9db3d4bc6607f341175b1f9b0d39a0d8fb4,success,True,-0.3286591247197443,0.41479407388504,0.0013092417566558214,0.000158020159575952,0.0004500435364556787,0.0015916250916675624,0.0012164338969354203,0.0013397439065986412,0.0012992169467535438,0.005910616851537487,1.0,HOLD,False
AAPL,2024-02-02,2023-02-02,2024-02-02,252,d77e47b60d68ec142be094f0fd217676726a80bacab17a2427f290eb7ea9de72,success,True,-0.3447958046182954,0.42565359204227715,0.0010734029430943231,0.00015849826763299793,-4.6522908281600986e-05,0.0014595486781323144,0.0009402615136819758,0.0011193095493765835,0.001057574537843936,0.004537744136614119,1.0,HOLD,False
AAPL,2024-02-09,2023-02-09,2024-02-09,252,77b696c5c150e2c6310d006b78c0b366c8efa64624bedc18f6c76fb132cd78de,success,False,-0.31742678057558327,0.4154265614956868,0.0009637736988456147,0.00014761174288072077,0.0015255941229526879,0.0007854368503596976,0.001020382590518495,0.0009458045206099404,0.0009694775972425536,0.005257560702894182,1.0,HOLD,False
AAPL,2024-02-16,2023-02-16,2024-02-16,252,8a8276f3b2089481be0b8ff467cb17f5b8db5124a09ff14773b365d948b6feb5,success,True,-0.3888633589260892,0.494549625163744,0.0007242920885511451,0.00014617551710398134,-0.00019473136701252602,0.0010816666364134957,0.000585322221474699,0.0007783323778520041,0.0007032778001362755,0.0029569060126055646,1.0,HOLD,False
AAPL,2024-02-23,2023-02-23,2024-02-23,252,cf4243c39d08c1a80f0f3deb31daae8e93de4f1bf0d11ee564f8f87c1118e28b,success,True,-0.4114234267445377,0.5250168098501233,0.0008988672475570603,0.00014352720255510887,-0.0008511909755839884,0.0016188821987242073,0.0006026362290405716,0.0010207436283031386,0.0008487244493512867,0.0032423069471554378,1.0,HOLD,False
AAPL,2024-03-01,2023-03-02,2024-03-01,252,67e05c5fb53f7a265f2a94ed1da3fad702ec5903103a4033235a8d218138facf,success,True,-0.5109058117293438,0.6215607571584235,0.0009263598329062897,0.00014168808032433613,-1.0627743381977643e-05,0.0014050722311501574,0.0006817828864966056,0.0010513156162420135,0.0008625191969908757,0.0039958819635179665,1.0,HOLD,False
AAPL,2024-03-08,2023-03-09,2024-03-08,252,4fccbf9b20bf2b75db0a40a920ae87d2e74547b70cbc561816cf65b665967be1,success,True,0.052351949531399405,0.08410802532283901,0.0005285703389103353,0.0001409045070053764,0.0018635403061929468,0.0005984586192634484,0.0005322291266362177,0.0005287618835807067,0.0005285803666472516,0.004057445315023944,1.0,HOLD,False
