symbol,decision_session,decision_time_utc,action,status,reason,target_weight,portfolio_weight_before,equity_at_decision,rebalance_status,execution_session,order_status,raw_open_price,fill_price,fill_quantity,commission,slippage_cost,total_transaction_cost,position_after,cache_status
AAPL,2024-01-05,2024-01-05T21:00:00+00:00,BUY,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.0,100000.0,ordered,2024-01-08,filled,182.0899963,182.18104129814998,548.6302212090893,49.97501249375313,49.95003747500594,99.92504996875907,548.6302212090893,
AAPL,2024-01-12,2024-01-12T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,102001.32973965949,noop,,,,,,,,,,
AAPL,2024-01-19,2024-01-19T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,105095.60385810061,noop,,,,,,,,,,
AAPL,2024-01-26,2024-01-26T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,105567.42617751857,noop,,,,,,,,,,
AAPL,2024-02-02,2024-02-02T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,101962.9299583536,noop,,,,,,,,,,
AAPL,2024-02-09,2024-02-09T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9987307631696142,103740.49187507105,noop,,,,,,,,,,
AAPL,2024-02-16,2024-02-16T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9986852916836192,100152.44556500672,noop,,,,,,,,,,
AAPL,2024-02-23,2024-02-23T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9986868023946528,100267.66158728313,noop,,,,,,,,,,
AAPL,2024-03-01,2024-03-01T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9986659255416124,98698.578825447,noop,,,,,,,,,,
AAPL,2024-03-08,2024-03-08T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9985962449199499,93799.30656100805,noop,,,,,,,,,,
AAPL,2024-03-15,2024-03-15T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.99861159315745,94836.21734991511,noop,,,,,,,,,,
AAPL,2024-03-22,2024-03-22T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.998608856934446,94649.68510463582,noop,,,,,,,,,,
AAPL,2024-03-28,2024-03-28T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9986023759258689,94210.77922691486,noop,,,,,,,,,,
AAPL,2024-04-05,2024-04-05T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9985867389149915,93168.38515326194,noop,,,,,,,,,,
AAPL,2024-04-12,2024-04-12T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9986424571763582,96992.33850830859,noop,,,,,,,,,,
AAPL,2024-04-19,2024-04-19T20:00:00+00:00,SELL,success,"fixed ARMA(1,1) five-session cumulative forecast",0.0,0.9985475671750181,90655.65775258992,ordered,2024-04-22,filled,165.5200043,165.43724429785001,-548.6302212090893,45.3819359676758,45.40463828681708,90.78657425449288,0.0,
AAPL,2024-04-26,2024-04-26T20:00:00+00:00,BUY,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.0,90850.16125247412,ordered,2024-04-29,filled,173.3699951,173.45668009755,523.5010771679134,45.40237943651879,45.37968959171266,90.78206902823146,523.5010771679134,
AAPL,2024-05-03,2024-05-03T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9999999999999999,95999.63009620726,noop,,,,,,,,,,
AAPL,2024-05-10,2024-05-10T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9986361156804583,95957.74906773189,noop,,,,,,,,,,
AAPL,2024-05-17,2024-05-17T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9986850409928291,99528.02222600844,noop,,,,,,,,,,
AAPL,2024-05-24,2024-05-24T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9986858013686007,99585.60765859755,noop,,,,,,,,,,
AAPL,2024-05-31,2024-05-31T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9987012987012985,100773.95735482335,noop,,,,,,,,,,
AAPL,2024-06-07,2024-06-07T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.998731865675353,103203.00203878182,noop,,,,,,,,,,
AAPL,2024-06-14,2024-06-14T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9988248566628902,111369.62203595784,noop,,,,,,,,,,
AAPL,2024-06-21,2024-06-21T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9987965726707366,108752.11665011827,noop,,,,,,,,,,
AAPL,2024-06-28,2024-06-28T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.9988144354066045,110390.66957724265,noop,,,,,,,,,,
AMZN,2024-01-05,2024-01-05T21:00:00+00:00,BUY,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.0,100000.0,ordered,2024-01-08,filled,146.7400055,146.81337550274998,680.796450903985,49.97501249375312,49.95003747500349,99.92504996875661,680.796450903985,
AMZN,2024-01-12,2024-01-12T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,105264.74390287156,noop,,,,,,,,,,
AMZN,2024-01-19,2024-01-19T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,105754.91816447816,noop,,,,,,,,,,
AMZN,2024-01-26,2024-01-26T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,108328.3279319395,noop,,,,,,,,,,
AMZN,2024-02-02,2024-02-02T21:00:00+00:00,SELL,success,"fixed ARMA(1,1) five-session cumulative forecast",0.0,1.0,116967.6365959022,ordered,2024-02-05,filled,170.1999969,170.11489690155003,-680.796450903985,57.90680902823629,57.935776916678634,115.84258594491493,0.0,
AMZN,2024-02-09,2024-02-09T21:00:00+00:00,BUY,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.0,115755.71124744434,ordered,2024-02-12,filled,174.8000031,174.88740310154998,661.5562943038566,57.8489311581431,57.82002114755628,115.66895230569938,661.5562943038566,
AMZN,2024-02-16,2024-02-16T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,112140.40380888712,noop,,,,,,,,,,
AMZN,2024-02-23,2024-02-23T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,115765.73957879149,noop,,,,,,,,,,
AMZN,2024-03-01,2024-03-01T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,117902.56356470089,noop,,,,,,,,,,
AMZN,2024-03-08,2024-03-08T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,116003.90024167465,noop,,,,,,,,,,
AMZN,2024-03-15,2024-03-15T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,115388.64766167734,noop,,,,,,,,,,
AMZN,2024-03-22,2024-03-22T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,118332.57112050499,noop,,,,,,,,,,
AMZN,2024-03-28,2024-03-28T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,119331.52760815549,noop,,,,,,,,,,
AMZN,2024-04-05,2024-04-05T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,122434.22821617567,noop,,,,,,,,,,
AMZN,2024-04-12,2024-04-12T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,123135.47630040266,noop,,,,,,,,,,
AMZN,2024-04-19,2024-04-19T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,115527.5789159083,noop,,,,,,,,,,
AMZN,2024-04-26,2024-04-26T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,118828.73834123289,noop,,,,,,,,,,
AMZN,2024-05-03,2024-05-03T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,123188.40199474832,noop,,,,,,,,,,
AMZN,2024-05-10,2024-05-10T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,124028.57121139496,noop,,,,,,,,,,
AMZN,2024-05-17,2024-05-17T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,122189.4455070978,noop,,,,,,,,,,
AMZN,2024-05-24,2024-05-24T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,119576.30019542208,noop,,,,,,,,,,
AMZN,2024-05-31,2024-05-31T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,116724.99415470756,noop,,,,,,,,,,
AMZN,2024-06-07,2024-06-07T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,121924.82709102528,noop,,,,,,,,,,
AMZN,2024-06-14,2024-06-14T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,121501.43145960459,noop,,,,,,,,,,
AMZN,2024-06-21,2024-06-21T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,125087.06531777453,noop,,,,,,,,,,
AMZN,2024-06-28,2024-06-28T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,127845.75387422029,noop,,,,,,,,,,
JPM,2024-01-05,2024-01-05T21:00:00+00:00,BUY,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,0.0,100000.0,ordered,2024-01-08,filled,172.0200043,172.10601430215002,580.7468460226705,49.97501249375312,49.95003747501825,99.92504996877136,580.7468460226705,
JPM,2024-01-12,2024-01-12T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,98175.25612044768,noop,,,,,,,,,,
JPM,2024-01-19,2024-01-19T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,98906.99395232859,noop,,,,,,,,,,
JPM,2024-01-26,2024-01-26T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,100051.06593588945,noop,,,,,,,,,,
JPM,2024-02-02,2024-02-02T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,101473.89390832977,noop,,,,,,,,,,
JPM,2024-02-09,2024-02-09T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,101636.50232831991,noop,,,,,,,,,,
JPM,2024-02-16,2024-02-16T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,103971.10714654248,noop,,,,,,,,,,
JPM,2024-02-23,2024-02-23T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,106851.6153938188,noop,,,,,,,,,,
JPM,2024-03-01,2024-03-01T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,107606.57920853674,noop,,,,,,,,,,
JPM,2024-03-08,2024-03-08T21:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,109308.17205528327,noop,,,,,,,,,,
JPM,2024-03-15,2024-03-15T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,110516.12659842942,noop,,,,,,,,,,
JPM,2024-03-22,2024-03-22T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,114186.44201931794,noop,,,,,,,,,,
JPM,2024-03-28,2024-03-28T20:00:00+00:00,HOLD,success,"fixed ARMA(1,1) five-session cumulative forecast",1.0,1.0,116323.59505865612,noop,,,,,,,,,,
