session,symbol,series,equity,normalized_equity
2024-01-05,AAPL,strategy,100000.0,1.0
2024-01-08,AAPL,strategy,101803.82253084608,1.0180382253084608
2024-01-09,AAPL,strategy,101573.39882547266,1.0157339882547265
2024-01-10,AAPL,strategy,102149.46220363287,1.0214946220363286
2024-01-11,AAPL,strategy,101820.28072426307,1.0182028072426306
2024-01-12,AAPL,strategy,102001.32973965949,1.020013297396595
2024-01-16,AAPL,strategy,100744.97020891315,1.0074497020891315
2024-01-17,AAPL,strategy,100223.76480547583,1.0022376480547583
2024-01-18,AAPL,strategy,103488.1213149586,1.034881213149586
2024-01-19,AAPL,strategy,105095.60385810061,1.0509560385810062
2024-01-22,AAPL,strategy,106373.91326105219,1.0637391326105219
2024-01-23,AAPL,strategy,107081.64257058945,1.0708164257058945
2024-01-24,AAPL,strategy,106708.57802516787,1.0670857802516787
2024-01-25,AAPL,strategy,106527.52906463448,1.0652752906463447
2024-01-26,AAPL,strategy,105567.42617751857,1.0556742617751858
2024-01-29,AAPL,strategy,105188.86995330873,1.0518886995330874
2024-01-30,AAPL,strategy,103164.42312033467,1.0316442312033467
2024-01-31,AAPL,strategy,101167.40944431172,1.0116740944431173
2024-02-01,AAPL,strategy,102517.04346430856,1.0251704346430857
2024-02-02,AAPL,strategy,101962.9299583536,1.019629299583536
2024-02-05,AAPL,strategy,102966.91591152128,1.0296691591152127
2024-02-06,AAPL,strategy,103855.70257563429,1.038557025756343
2024-02-07,AAPL,strategy,103916.05222914543,1.0391605222914542
2024-02-08,AAPL,strategy,103318.0472630963,1.033180472630963
2024-02-09,AAPL,strategy,103740.49187507105,1.0374049187507104
2024-02-12,AAPL,strategy,102807.8138057269,1.028078138057269
2024-02-13,AAPL,strategy,101650.20370979758,1.0165020370979758
2024-02-14,AAPL,strategy,101161.92314209964,1.0116192314209964
2024-02-15,AAPL,strategy,101002.82405377149,1.0100282405377148
2024-02-16,AAPL,strategy,100152.44556500672,1.0015244556500673
2024-02-20,AAPL,strategy,99740.97289909991,0.9974097289909991
2024-02-21,AAPL,strategy,100157.93718893196,1.0015793718893196
2024-02-22,AAPL,strategy,101282.6224491219,1.012826224491219
2024-02-23,AAPL,strategy,100267.66158728313,1.0026766158728313
2024-02-26,AAPL,strategy,99521.52415726063,0.9952152415726063
2024-02-27,AAPL,strategy,100328.01124079425,1.0032801124079425
2024-02-28,AAPL,strategy,99664.16499730878,0.9966416499730878
2024-02-29,AAPL,strategy,99296.58373663308,0.9929658373663308
2024-03-01,AAPL,strategy,98698.578825447,0.9869857882544699
2024-03-04,AAPL,strategy,96196.82633344608,0.9619682633344608
2024-03-05,AAPL,strategy,93464.64179689238,0.9346464179689238
2024-03-06,AAPL,strategy,92916.0115756833,0.929160115756833
2024-03-07,AAPL,strategy,92850.17863742627,0.9285017863742627
2024-03-08,AAPL,strategy,93799.30656100805,0.9379930656100806
2024-03-11,AAPL,strategy,94907.54196696036,0.9490754196696036
2024-03-12,AAPL,strategy,95170.88211403077,0.9517088211403077
2024-03-13,AAPL,strategy,94018.76369688971,0.9401876369688972
2024-03-14,AAPL,strategy,95044.69952226264,0.9504469952226264
2024-03-15,AAPL,strategy,94836.21734991511,0.9483621734991511
2024-03-18,AAPL,strategy,95439.71393988945,0.9543971393988945
2024-03-19,AAPL,strategy,96734.48159112103,0.9673448159112104
