symbol,decision_session,decision_time_utc,execution_session,price_start_session,input_start_session,input_end_session,max_model_input_session,n_price_observations,n_returns,input_sha256,future_input_violation,insufficient_window,status
AAPL,2024-01-05,2024-01-05T21:00:00+00:00,2024-01-08,2023-01-04,2023-01-05,2024-01-05,2024-01-05,253,252,504a08317293e8dec24628f3370371a3b9d122e47217749230815e6c63fb1810,False,False,passed
AAPL,2024-01-12,2024-01-12T21:00:00+00:00,2024-01-16,2023-01-11,2023-01-12,2024-01-12,2024-01-12,253,252,ac5b2245e5f36dbcf73fa0aa51ab927b7e644885325b1317f9dc1eb8a5c9ca45,False,False,passed
AAPL,2024-01-19,2024-01-19T21:00:00+00:00,2024-01-22,2023-01-18,2023-01-19,2024-01-19,2024-01-19,253,252,3e4d1e3c4a4bc46a1fd72f89a51ad39e11411466c7bb00da70f85171dab05439,False,False,passed
AAPL,2024-01-26,2024-01-26T21:00:00+00:00,2024-01-29,2023-01-25,2023-01-26,2024-01-26,2024-01-26,253,252,85dc0270ef4c47f33b5ef43472bbf9db3d4bc6607f341175b1f9b0d39a0d8fb4,False,False,passed
AAPL,2024-02-02,2024-02-02T21:00:00+00:00,2024-02-05,2023-02-01,2023-02-02,2024-02-02,2024-02-02,253,252,d77e47b60d68ec142be094f0fd217676726a80bacab17a2427f290eb7ea9de72,False,False,passed
AAPL,2024-02-09,2024-02-09T21:00:00+00:00,2024-02-12,2023-02-08,2023-02-09,2024-02-09,2024-02-09,253,252,77b696c5c150e2c6310d006b78c0b366c8efa64624bedc18f6c76fb132cd78de,False,False,passed
AAPL,2024-02-16,2024-02-16T21:00:00+00:00,2024-02-20,2023-02-15,2023-02-16,2024-02-16,2024-02-16,253,252,8a8276f3b2089481be0b8ff467cb17f5b8db5124a09ff14773b365d948b6feb5,False,False,passed
AAPL,2024-02-23,2024-02-23T21:00:00+00:00,2024-02-26,2023-02-22,2023-02-23,2024-02-23,2024-02-23,253,252,cf4243c39d08c1a80f0f3deb31daae8e93de4f1bf0d11ee564f8f87c1118e28b,False,False,passed
AAPL,2024-03-01,2024-03-01T21:00:00+00:00,2024-03-04,2023-03-01,2023-03-02,2024-03-01,2024-03-01,253,252,67e05c5fb53f7a265f2a94ed1da3fad702ec5903103a4033235a8d218138facf,False,False,passed
AAPL,2024-03-08,2024-03-08T21:00:00+00:00,2024-03-11,2023-03-08,2023-03-09,2024-03-08,2024-03-08,253,252,4fccbf9b20bf2b75db0a40a920ae87d2e74547b70cbc561816cf65b665967be1,False,False,passed
