symbol,decision_session,action,status,position_before,position_after,rebalance_status,execution_session,next_evaluation_session,forward_underlying_return,strategy_forward_return,spy_forward_return,excess_vs_underlying,excess_vs_spy,exposure_during_forward_period,transaction_cost_during_period
AAPL,2024-01-05,SELL,cached,0.0,,noop,,2024-01-12,0.026161859426987455,0.0,0.016595174092710163,-0.020013297396594965,-0.016595174092710163,0.0,0.0
AAPL,2024-01-12,HOLD,cached,0.0,,noop,,2024-01-19,0.030335625293696822,0.0,0.012062599832292076,-0.030335625293696822,-0.012062599832292076,0.0,0.0
AAPL,2024-01-19,HOLD,cached,0.0,,noop,,2024-01-26,0.00448945818946922,0.0,0.010322764080501257,-0.00448945818946922,-0.010322764080501257,0.0,0.0
AAPL,2024-01-26,HOLD,cached,0.0,,noop,,2024-02-02,-0.034144019132414716,0.0,0.014238530902766389,0.034144019132414716,-0.014238530902766389,0.0,0.0
AAPL,2024-02-02,HOLD,cached,0.0,,noop,,2024-02-09,0.016142049510537992,0.0,0.013856591515069905,-0.017433413471380943,-0.013856591515069905,0.0,0.0
AAPL,2024-02-09,HOLD,cached,0.0,,noop,,2024-02-16,-0.03463070314404404,0.0,-0.003371912128616761,0.03458674858015143,0.003371912128616761,0.0,0.0
AAPL,2024-02-16,HOLD,cached,0.0,,noop,,2024-02-23,0.0011519209191190871,0.0,0.016696354700357796,-0.0011504064791070245,-0.016696354700357796,0.0,0.0
AAPL,2024-02-23,HOLD,cached,0.0,,noop,,2024-03-01,-0.01566951858766752,0.0,0.009845366623891572,0.015648941413381245,-0.009845366623891572,0.0,0.0
AAPL,2024-03-01,SELL,cached,0.0,,noop,,2024-03-08,-0.04970504183508495,0.0,-0.0022033234937332002,0.049638731608319664,0.0022033234937332002,0.0,0.0
AAPL,2024-03-08,HOLD,cached,0.0,,noop,,2024-03-15,0.011070107465597667,0.0,-0.0005765156712816966,-0.011054567746006105,0.0005765156712816966,0.0,0.0
AAPL,2024-03-15,HOLD,cached,0.0,,noop,,2024-03-22,-0.001969622926956238,0.0,0.022251621837359847,0.0019668882890071515,-0.022251621837359847,0.0,0.0
AAPL,2024-03-22,HOLD,cached,0.0,,noop,,2024-03-28,-0.004643621462574576,0.0,0.0035577035830387516,0.004637161520777866,-0.0035577035830387516,0.0,0.0
AAPL,2024-03-28,SELL,cached,0.0,,noop,,2024-04-05,-0.011079974035711926,0.0,-0.008843766089677407,0.011064488397258931,0.008843766089677407,0.0,0.0
AAPL,2024-04-05,HOLD,cached,0.0,,noop,,2024-04-12,0.04110155222324097,0.0,-0.014576196733630531,-0.041043464998950396,0.014576196733630531,0.0,0.0
AAPL,2024-04-12,HOLD,cached,0.0,,noop,,2024-04-19,-0.0654205771577242,0.0,-0.03061792429086163,0.0653317659226853,0.03061792429086163,0.0,0.0
AAPL,2024-04-19,SELL,cached,0.0,,noop,,2024-04-26,0.026060624848484926,0.0,0.026371160838696506,-0.026022773541515498,-0.026371160838696506,0.0,0.0
AAPL,2024-04-26,HOLD,cached,0.0,,noop,,2024-05-03,0.08316598666382413,0.0,0.005942863445018487,-0.08304825729945975,-0.005942863445018487,0.0,0.0
AAPL,2024-05-03,HOLD,cached,0.0,,noop,,2024-05-10,-0.0017995517023785546,0.0,0.01862019408196458,0.0004356921787663781,-0.01862019408196458,0.0,0.0
AAPL,2024-05-10,HOLD,cached,0.0,,noop,,2024-05-17,0.037257535561331157,0.0,0.016480490121593583,-0.03715806845815628,-0.016480490121593583,0.0,0.0
AAPL,2024-05-17,SELL,cached,0.0,,noop,,2024-05-24,0.0005793469365291681,0.0,-1.8849249630248366e-05,-0.0005778556568158955,1.8849249630248366e-05,0.0,0.0
AAPL,2024-05-24,BUY,cached,0.0,521.6441847374772,ordered,2024-05-28,2024-05-31,0.011948649075582685,0.002860945157799888,-0.0038980618803745593,-0.009056965018327645,0.006759007038174447,0.8,99.9250499687675
AAPL,2024-05-31,HOLD,cached,1.0,,noop,,2024-06-07,0.02413523745123536,0.02413523745123536,0.012552843310065676,6.135865077872005e-05,0.011582394141169683,1.0,0.0
AAPL,2024-06-07,HOLD,cached,1.0,,noop,,2024-06-14,0.07923208973304519,0.07923208973304519,0.016374043071917477,0.0001966953292493745,0.06285804666112771,1.0,0.0
AAPL,2024-06-14,HOLD,cached,1.0,,noop,,2024-06-21,-0.023530518474197182,-0.023530518474197182,0.0064091486791493235,-5.4136321507192164e-05,-0.029939667153346505,1.0,0.0
AAPL,2024-06-21,HOLD,cached,1.0,,noop,,2024-06-28,0.015085013817689674,0.015085013817689674,-0.0005293998050828197,3.554022778717858e-05,0.015614413622772494,1.0,0.0
AAPL,2024-06-28,HOLD,cached,1.0,,noop,,2024-07-05,0.07463679406381285,0.07463679406381285,0.01902947265130117,0.00017323684306802534,0.05560732141251168,1.0,0.0
AMZN,2024-01-05,HOLD,cached,0.0,,noop,,2024-01-12,0.06458268551910806,0.0,0.016595174092710163,-0.05264743902871549,-0.016595174092710163,0.0,0.0
AMZN,2024-01-12,HOLD,cached,0.0,,noop,,2024-01-19,0.004656585324131823,0.0,0.012062599832292076,-0.004656585324131823,-0.012062599832292076,0.0,0.0
AMZN,2024-01-19,HOLD,cached,0.0,,noop,,2024-01-26,0.024333712437458077,0.0,0.010322764080501257,-0.024333712437458077,-0.010322764080501257,0.0,0.0
AMZN,2024-01-26,HOLD,cached,0.0,,noop,,2024-02-02,0.0797511493890184,0.0,0.014238530902766389,-0.07975114938901862,-0.014238530902766389,0.0,0.0
AMZN,2024-02-02,SELL,cached,0.0,,noop,,2024-02-09,0.015365807210744098,0.0,0.013856591515069905,-0.015365807210744098,-0.013856591515069905,0.0,0.0
AMZN,2024-02-09,HOLD,cached,0.0,,noop,,2024-02-16,-0.0283175837648868,0.0,-0.003371912128616761,0.0283175837648868,0.003371912128616761,0.0,0.0
AMZN,2024-02-16,BUY,cached,0.0,595.2456287826319,ordered,2024-02-20,2024-02-23,0.032328542137967986,0.041620358545237046,0.016696354700357796,0.009291816407268838,0.02492400384487925,0.8,99.92504996876414
AMZN,2024-02-23,HOLD,cached,1.0,,noop,,2024-03-01,0.018458172458312383,0.018458172458312383,0.009845366623891572,2.220446049250313e-16,0.008612805834420811,1.0,0.0
AMZN,2024-03-01,HOLD,cached,1.0,,noop,,2024-03-08,-0.016103664463447465,-0.016103664463447465,-0.0022033234937332002,-1.1102230246251565e-16,-0.013900340969714264,1.0,0.0
AMZN,2024-03-08,HOLD,cached,1.0,,noop,,2024-03-15,-0.005303723225818513,-0.005303723225818624,-0.0005765156712816966,0.0,-0.004727207554536927,1.0,0.0
AMZN,2024-03-15,HOLD,cached,1.0,,noop,,2024-03-22,0.025513111718401538,0.025513111718401538,0.022251621837359847,0.0,0.0032614898810416904,1.0,0.0
