symbol,decision_session,rating,forward_return_text,alpha_vs_spy_text,holding_horizon,status,visible_from,expected_maturity_session,maturity_valid,reflection_present
AAPL,2024-01-05,Underweight,+2.6%,+0.7%,5d,resolved,2024-01-12T21:00:00+00:00,2024-01-12,True,True
AAPL,2024-01-12,Hold,+4.3%,+2.9%,5d,resolved,2024-01-26T21:00:00+00:00,2024-01-22,True,True
AAPL,2024-01-19,Hold,+0.4%,-0.6%,5d,resolved,2024-01-26T21:00:00+00:00,2024-01-26,True,True
AAPL,2024-01-26,Hold,-3.4%,-4.8%,5d,resolved,2024-02-02T21:00:00+00:00,2024-02-02,True,True
AAPL,2024-02-02,Hold,+1.7%,+0.4%,5d,resolved,2024-02-09T21:00:00+00:00,2024-02-09,True,True
AAPL,2024-02-09,Hold,-3.5%,-3.1%,5d,resolved,2024-02-16T21:00:00+00:00,2024-02-16,True,True
AAPL,2024-02-16,Hold,-0.6%,-1.9%,5d,resolved,2024-03-01T21:00:00+00:00,2024-02-26,True,True
AAPL,2024-02-23,Hold,-1.6%,-2.6%,5d,resolved,2024-03-01T21:00:00+00:00,2024-03-01,True,True
AAPL,2024-03-01,Underweight,-5.0%,-4.8%,5d,resolved,2024-03-08T21:00:00+00:00,2024-03-08,True,True
AAPL,2024-03-08,Hold,+1.1%,+1.2%,5d,resolved,2024-03-15T20:00:00+00:00,2024-03-15,True,True
AAPL,2024-03-15,Hold,-0.2%,-2.4%,5d,resolved,2024-03-22T20:00:00+00:00,2024-03-22,True,True
AAPL,2024-03-22,Hold,-1.3%,-1.5%,5d,resolved,2024-04-05T20:00:00+00:00,2024-04-01,True,True
AAPL,2024-03-28,Underweight,-1.1%,-0.2%,5d,resolved,2024-04-05T20:00:00+00:00,2024-04-05,True,True
AAPL,2024-04-05,Hold,+4.1%,+5.6%,5d,resolved,2024-04-12T20:00:00+00:00,2024-04-12,True,True
AAPL,2024-04-12,Hold,-6.5%,-3.5%,5d,resolved,2024-04-19T20:00:00+00:00,2024-04-19,True,True
AAPL,2024-04-19,Underweight,+2.6%,-0.0%,5d,resolved,2024-04-26T20:00:00+00:00,2024-04-26,True,True
AAPL,2024-04-26,Hold,+8.3%,+7.7%,5d,resolved,2024-05-03T20:00:00+00:00,2024-05-03,True,True
AAPL,2024-05-03,Hold,-0.0%,-1.9%,5d,resolved,2024-05-10T20:00:00+00:00,2024-05-10,True,True
AAPL,2024-05-10,Hold,+3.7%,+2.1%,5d,resolved,2024-05-17T20:00:00+00:00,2024-05-17,True,True
AAPL,2024-05-17,Underweight,+0.1%,+0.1%,5d,resolved,2024-05-24T20:00:00+00:00,2024-05-24,True,True
