experiment_id,run_id,symbol,series,metric,value
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,cumulative_return,0.18068942843397107
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,annualized_return,0.40151679560087405
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,annualized_volatility,0.14464126381267822
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,sharpe_ratio,2.4051774116743196
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,sortino_ratio,6.2589628794104
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,maximum_drawdown,0.04236854560512937
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,calmar_ratio,9.476766074128921
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,turnover,0.9834213908153207
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,total_commission_cost,49.97501249375313
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,total_slippage_cost,49.95003747501436
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,total_transaction_cost,99.9250499687675
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,commission_cost_rate,0.0004997501249375312
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,slippage_cost_rate,0.0004995003747501436
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,transaction_cost_rate,0.000999250499687675
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,trade_count,1.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,average_exposure,0.216
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,time_in_market,0.216
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,decision_count,26.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,decision_failure_count,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,decision_failure_rate,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,cumulative_dividends,0.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,buy_decision_count,1.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,hold_decision_count,20.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,sell_decision_count,5.0
M0_original_prompt_2024H1,20260812T082530978211Z_2535896c,AAPL,strategy,noop_rebalance_count,25.0
