agent_role,unique_billed_requests,cache_hit_prompt_tokens,uncached_prompt_tokens,completion_tokens,reasoning_tokens,reasoning_tokens_available,total_tokens,cost_usd,cost_rmb
Aggressive Analyst,234,556416,2301784,333063,,False,3191263,0.41706536480000006,3.0028706265600005
Bear Researcher,234,735872,2662846,564487,,False,3963205,0.5329152416,3.8369897395200003
Bull Researcher,234,760960,1958792,520050,,False,3239802,0.421975568,3.0382240896000003
Conservative Analyst,234,676352,2629476,328925,,False,3634753,0.4621194256,3.32725986432
Fundamentals Analyst,225,300032,153585,123331,,False,576948,0.056874669600000004,0.40949762112000004
Market Analyst,243,773376,866272,275771,,False,1915419,0.20065941280000002,1.4447477721600002
Neutral Analyst,234,879360,2849283,349888,,False,4078531,0.499330468,3.5951793696000003
News Analyst,239,443264,211331,153002,,False,807597,0.07366803920000001,0.5304098822400001
Portfolio Manager,78,43264,1425815,63127,,False,1532206,0.21741079920000003,1.5653577542400001
Research Manager,78,33408,1111566,82209,,False,1227183,0.17873130240000001,1.2868653772800003
Sentiment Analyst,78,2048,158320,71789,,False,232157,0.042271454400000005,0.30435447168000007
Trader,78,17280,117493,38203,,False,172976,0.027194244000000003,0.19579855680000002
Unknown/unspecified,73,0,62267,8708,,False,70975,0.011155620000000002,0.08032046400000001
