account_symbol,symbol,decision_session,decision_time_utc,action,target_weight,status,reason,strategy_id,experiment_id,raw_signal,metadata,rebalance_status
AAPL,AAPL,2024-01-05,2024-01-05T21:00:00+00:00,SELL,0.0,cached,exact cache hit,tradingagents,M0_original_prompt_2024H1,SELL,"{'wall_clock_seconds': 0.010507249971851707, 'run_context': {'mode': 'historical', 'as_of': '2024-01-05T21:00:00+00:00'}, 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-01-05', 'last_observation_time_utc': '2024-01-05T21:00:00+00:00', 'row_count': 253, 'sha256': '73b40cb0e01d776ab36f6ee1605ff2a854ba3b2750642d3ac54dcfb677551edc'}, 'report_path': 'strategy/cases/AAPL/2024-01-05/reports', 'source_audit_path': 'strategy/cases/AAPL/2024-01-05/source_audit.json', 'cache_key': '94d238f4fd28505fab42f1867c8c6ac59e7cd3d063da133bf04a3a2e1cb9a8ed', 'cache_status': 'hit', 'model_config': {'llm_provider': 'deepseek', 'quick_think_llm': 'deepseek-v4-flash', 'deep_think_llm': 'deepseek-v4-flash', 'backend_url': None, 'deepseek_thinking': 'disabled', 'temperature': 0.0, 'llm_max_retries': None, 'selected_analysts': ['market', 'social', 'news', 'fundamentals'], 'output_language': 'English', 'research_depth': 'medium', 'max_debate_rounds': 3, 'max_risk_discuss_rounds': 3, 'max_recur_limit': 100, 'news_article_limit': 20, 'global_news_article_limit': 10, 'global_news_lookback_days': 7, 'global_news_queries': ['Federal Reserve interest rates inflation', 'S&P 500 earnings GDP economic outlook', 'geopolitical risk trade war sanctions', 'ECB Bank of England BOJ central bank policy', 'oil commodities supply chain energy'], 'data_vendors': {'core_stock_apis': 'yfinance', 'technical_indicators': 'yfinance', 'fundamental_data': 'yfinance', 'news_data': 'yfinance', 'macro_data': 'fred', 'prediction_markets': 'polymarket'}, 'tool_vendors': {}, 'benchmark_ticker': None, 'benchmark_map': {'.NS': '^NSEI', '.BO': '^BSESN', '.T': '^N225', '.HK': '^HSI', '.L': '^FTSE', '.TO': '^GSPTSE', '.AX': '^AXJO', '.SS': '000001.SS', '.SZ': '399001.SZ', '': 'SPY'}, 'memory_mode': 'experiment', 'memory_log_max_entries': None, 'memory_holding_horizon_sessions': 5, 'memory_outcome_price_mode': 'adjusted_close', 'checkpoint_enabled': False, 'point_in_time': True, 'execution_data_source': 'snapshot', 'graph_config_sha256': '5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e'}, 'decision_prefix_sha256': '12174bea7513895204879e64958486ac888c62aabaf7a79b961ccb5179e4e59f'}",noop
AAPL,AAPL,2024-01-12,2024-01-12T21:00:00+00:00,HOLD,0.0,cached,exact cache hit,tradingagents,M0_original_prompt_2024H1,HOLD,"{'wall_clock_seconds': 0.010405540990177542, 'run_context': {'mode': 'historical', 'as_of': '2024-01-12T21:00:00+00:00'}, 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-01-12', 'last_observation_time_utc': '2024-01-12T21:00:00+00:00', 'row_count': 258, 'sha256': 'ac61fa3f408ba364f94814f51b8e58e8b2a6765f49c7d5dd112afa104bb7bfd7'}, 'report_path': 'strategy/cases/AAPL/2024-01-12/reports', 'source_audit_path': 'strategy/cases/AAPL/2024-01-12/source_audit.json', 'cache_key': '358264ee5634e2ac9fe71464ecf9291a6f27dc20bbbfe0ea8a67ebc1271ede1f', 'cache_status': 'hit', 'model_config': {'llm_provider': 'deepseek', 'quick_think_llm': 'deepseek-v4-flash', 'deep_think_llm': 'deepseek-v4-flash', 'backend_url': None, 'deepseek_thinking': 'disabled', 'temperature': 0.0, 'llm_max_retries': None, 'selected_analysts': ['market', 'social', 'news', 'fundamentals'], 'output_language': 'English', 'research_depth': 'medium', 'max_debate_rounds': 3, 'max_risk_discuss_rounds': 3, 'max_recur_limit': 100, 'news_article_limit': 20, 'global_news_article_limit': 10, 'global_news_lookback_days': 7, 'global_news_queries': ['Federal Reserve interest rates inflation', 'S&P 500 earnings GDP economic outlook', 'geopolitical risk trade war sanctions', 'ECB Bank of England BOJ central bank policy', 'oil commodities supply chain energy'], 'data_vendors': {'core_stock_apis': 'yfinance', 'technical_indicators': 'yfinance', 'fundamental_data': 'yfinance', 'news_data': 'yfinance', 'macro_data': 'fred', 'prediction_markets': 'polymarket'}, 'tool_vendors': {}, 'benchmark_ticker': None, 'benchmark_map': {'.NS': '^NSEI', '.BO': '^BSESN', '.T': '^N225', '.HK': '^HSI', '.L': '^FTSE', '.TO': '^GSPTSE', '.AX': '^AXJO', '.SS': '000001.SS', '.SZ': '399001.SZ', '': 'SPY'}, 'memory_mode': 'experiment', 'memory_log_max_entries': None, 'memory_holding_horizon_sessions': 5, 'memory_outcome_price_mode': 'adjusted_close', 'checkpoint_enabled': False, 'point_in_time': True, 'execution_data_source': 'snapshot', 'graph_config_sha256': '5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e'}, 'decision_prefix_sha256': 'a99457aaffaf2b487f10076bc2f865d1fc815982851eae4c637a37057ade1395'}",noop
AAPL,AAPL,2024-01-19,2024-01-19T21:00:00+00:00,HOLD,0.0,cached,exact cache hit,tradingagents,M0_original_prompt_2024H1,HOLD,"{'wall_clock_seconds': 0.011005583975929767, 'run_context': {'mode': 'historical', 'as_of': '2024-01-19T21:00:00+00:00'}, 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-01-19', 'last_observation_time_utc': '2024-01-19T21:00:00+00:00', 'row_count': 262, 'sha256': '69738cb072abf816687cc610cdbc2addc18f7e9001cc5e2a36fe47a7c01f3923'}, 'report_path': 'strategy/cases/AAPL/2024-01-19/reports', 'source_audit_path': 'strategy/cases/AAPL/2024-01-19/source_audit.json', 'cache_key': 'c89fa8fddecb90b450e7b9b4930562354c7917653fb68842d4a0fe8f6e96b659', 'cache_status': 'hit', 'model_config': {'llm_provider': 'deepseek', 'quick_think_llm': 'deepseek-v4-flash', 'deep_think_llm': 'deepseek-v4-flash', 'backend_url': None, 'deepseek_thinking': 'disabled', 'temperature': 0.0, 'llm_max_retries': None, 'selected_analysts': ['market', 'social', 'news', 'fundamentals'], 'output_language': 'English', 'research_depth': 'medium', 'max_debate_rounds': 3, 'max_risk_discuss_rounds': 3, 'max_recur_limit': 100, 'news_article_limit': 20, 'global_news_article_limit': 10, 'global_news_lookback_days': 7, 'global_news_queries': ['Federal Reserve interest rates inflation', 'S&P 500 earnings GDP economic outlook', 'geopolitical risk trade war sanctions', 'ECB Bank of England BOJ central bank policy', 'oil commodities supply chain energy'], 'data_vendors': {'core_stock_apis': 'yfinance', 'technical_indicators': 'yfinance', 'fundamental_data': 'yfinance', 'news_data': 'yfinance', 'macro_data': 'fred', 'prediction_markets': 'polymarket'}, 'tool_vendors': {}, 'benchmark_ticker': None, 'benchmark_map': {'.NS': '^NSEI', '.BO': '^BSESN', '.T': '^N225', '.HK': '^HSI', '.L': '^FTSE', '.TO': '^GSPTSE', '.AX': '^AXJO', '.SS': '000001.SS', '.SZ': '399001.SZ', '': 'SPY'}, 'memory_mode': 'experiment', 'memory_log_max_entries': None, 'memory_holding_horizon_sessions': 5, 'memory_outcome_price_mode': 'adjusted_close', 'checkpoint_enabled': False, 'point_in_time': True, 'execution_data_source': 'snapshot', 'graph_config_sha256': '5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e'}, 'decision_prefix_sha256': '88826003832ff1b4bd9e1c19bb3c83a96134bc8bbf8e715ea58368c233899437'}",noop
AAPL,AAPL,2024-01-26,2024-01-26T21:00:00+00:00,HOLD,0.0,cached,exact cache hit,tradingagents,M0_original_prompt_2024H1,HOLD,"{'wall_clock_seconds': 0.009185167029500008, 'run_context': {'mode': 'historical', 'as_of': '2024-01-26T21:00:00+00:00'}, 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-01-26', 'last_observation_time_utc': '2024-01-26T21:00:00+00:00', 'row_count': 267, 'sha256': '9d0ea586209695d18a3be0f9a9c09a91a7fc85b6eefd0e668f9200425ef2d94f'}, 'report_path': 'strategy/cases/AAPL/2024-01-26/reports', 'source_audit_path': 'strategy/cases/AAPL/2024-01-26/source_audit.json', 'cache_key': 'c6dcec1d6f765137cbca4e2a55acc95094622d055b9566a67eb44e279bad8d11', 'cache_status': 'hit', 'model_config': {'llm_provider': 'deepseek', 'quick_think_llm': 'deepseek-v4-flash', 'deep_think_llm': 'deepseek-v4-flash', 'backend_url': None, 'deepseek_thinking': 'disabled', 'temperature': 0.0, 'llm_max_retries': None, 'selected_analysts': ['market', 'social', 'news', 'fundamentals'], 'output_language': 'English', 'research_depth': 'medium', 'max_debate_rounds': 3, 'max_risk_discuss_rounds': 3, 'max_recur_limit': 100, 'news_article_limit': 20, 'global_news_article_limit': 10, 'global_news_lookback_days': 7, 'global_news_queries': ['Federal Reserve interest rates inflation', 'S&P 500 earnings GDP economic outlook', 'geopolitical risk trade war sanctions', 'ECB Bank of England BOJ central bank policy', 'oil commodities supply chain energy'], 'data_vendors': {'core_stock_apis': 'yfinance', 'technical_indicators': 'yfinance', 'fundamental_data': 'yfinance', 'news_data': 'yfinance', 'macro_data': 'fred', 'prediction_markets': 'polymarket'}, 'tool_vendors': {}, 'benchmark_ticker': None, 'benchmark_map': {'.NS': '^NSEI', '.BO': '^BSESN', '.T': '^N225', '.HK': '^HSI', '.L': '^FTSE', '.TO': '^GSPTSE', '.AX': '^AXJO', '.SS': '000001.SS', '.SZ': '399001.SZ', '': 'SPY'}, 'memory_mode': 'experiment', 'memory_log_max_entries': None, 'memory_holding_horizon_sessions': 5, 'memory_outcome_price_mode': 'adjusted_close', 'checkpoint_enabled': False, 'point_in_time': True, 'execution_data_source': 'snapshot', 'graph_config_sha256': '5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e'}, 'decision_prefix_sha256': 'b07869e1ece3ca33909100b6f0f39b2f4030cf05fa6aebf3f4985d0db11a372d'}",noop
AAPL,AAPL,2024-02-02,2024-02-02T21:00:00+00:00,HOLD,0.0,cached,exact cache hit,tradingagents,M0_original_prompt_2024H1,HOLD,"{'wall_clock_seconds': 0.009476917039137334, 'run_context': {'mode': 'historical', 'as_of': '2024-02-02T21:00:00+00:00'}, 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-02-02', 'last_observation_time_utc': '2024-02-02T21:00:00+00:00', 'row_count': 272, 'sha256': '2f4bd6f7c00ab341d98f4dd187085c1984b27c4a623f1cd60f2c616484e74a38'}, 'report_path': 'strategy/cases/AAPL/2024-02-02/reports', 'source_audit_path': 'strategy/cases/AAPL/2024-02-02/source_audit.json', 'cache_key': '5d75c93d1dc06a78e01a93a84392b231a33d3fef978057163e27fc20ed8ef328', 'cache_status': 'hit', 'model_config': {'llm_provider': 'deepseek', 'quick_think_llm': 'deepseek-v4-flash', 'deep_think_llm': 'deepseek-v4-flash', 'backend_url': None, 'deepseek_thinking': 'disabled', 'temperature': 0.0, 'llm_max_retries': None, 'selected_analysts': ['market', 'social', 'news', 'fundamentals'], 'output_language': 'English', 'research_depth': 'medium', 'max_debate_rounds': 3, 'max_risk_discuss_rounds': 3, 'max_recur_limit': 100, 'news_article_limit': 20, 'global_news_article_limit': 10, 'global_news_lookback_days': 7, 'global_news_queries': ['Federal Reserve interest rates inflation', 'S&P 500 earnings GDP economic outlook', 'geopolitical risk trade war sanctions', 'ECB Bank of England BOJ central bank policy', 'oil commodities supply chain energy'], 'data_vendors': {'core_stock_apis': 'yfinance', 'technical_indicators': 'yfinance', 'fundamental_data': 'yfinance', 'news_data': 'yfinance', 'macro_data': 'fred', 'prediction_markets': 'polymarket'}, 'tool_vendors': {}, 'benchmark_ticker': None, 'benchmark_map': {'.NS': '^NSEI', '.BO': '^BSESN', '.T': '^N225', '.HK': '^HSI', '.L': '^FTSE', '.TO': '^GSPTSE', '.AX': '^AXJO', '.SS': '000001.SS', '.SZ': '399001.SZ', '': 'SPY'}, 'memory_mode': 'experiment', 'memory_log_max_entries': None, 'memory_holding_horizon_sessions': 5, 'memory_outcome_price_mode': 'adjusted_close', 'checkpoint_enabled': False, 'point_in_time': True, 'execution_data_source': 'snapshot', 'graph_config_sha256': '5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e'}, 'decision_prefix_sha256': 'ad7cdad4b836c5b6d3a94211bb36b99621a3051744e7d6d002ba1f045ccbc5d3'}",noop
AAPL,AAPL,2024-02-09,2024-02-09T21:00:00+00:00,HOLD,0.0,cached,exact cache hit,tradingagents,M0_original_prompt_2024H1,HOLD,"{'wall_clock_seconds': 0.009162249974906445, 'run_context': {'mode': 'historical', 'as_of': '2024-02-09T21:00:00+00:00'}, 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-02-09', 'last_observation_time_utc': '2024-02-09T21:00:00+00:00', 'row_count': 277, 'sha256': 'b379bde7dd1389c386c63e5f691dbbb5b10d7a29313b1650731e4b6dc1c079bb'}, 'report_path': 'strategy/cases/AAPL/2024-02-09/reports', 'source_audit_path': 'strategy/cases/AAPL/2024-02-09/source_audit.json', 'cache_key': '8aa03bfb4e8cd6907fb633cc56ab1f15d2a183e0b60acd142a259e0c2537af4b', 'cache_status': 'hit', 'model_config': {'llm_provider': 'deepseek', 'quick_think_llm': 'deepseek-v4-flash', 'deep_think_llm': 'deepseek-v4-flash', 'backend_url': None, 'deepseek_thinking': 'disabled', 'temperature': 0.0, 'llm_max_retries': None, 'selected_analysts': ['market', 'social', 'news', 'fundamentals'], 'output_language': 'English', 'research_depth': 'medium', 'max_debate_rounds': 3, 'max_risk_discuss_rounds': 3, 'max_recur_limit': 100, 'news_article_limit': 20, 'global_news_article_limit': 10, 'global_news_lookback_days': 7, 'global_news_queries': ['Federal Reserve interest rates inflation', 'S&P 500 earnings GDP economic outlook', 'geopolitical risk trade war sanctions', 'ECB Bank of England BOJ central bank policy', 'oil commodities supply chain energy'], 'data_vendors': {'core_stock_apis': 'yfinance', 'technical_indicators': 'yfinance', 'fundamental_data': 'yfinance', 'news_data': 'yfinance', 'macro_data': 'fred', 'prediction_markets': 'polymarket'}, 'tool_vendors': {}, 'benchmark_ticker': None, 'benchmark_map': {'.NS': '^NSEI', '.BO': '^BSESN', '.T': '^N225', '.HK': '^HSI', '.L': '^FTSE', '.TO': '^GSPTSE', '.AX': '^AXJO', '.SS': '000001.SS', '.SZ': '399001.SZ', '': 'SPY'}, 'memory_mode': 'experiment', 'memory_log_max_entries': None, 'memory_holding_horizon_sessions': 5, 'memory_outcome_price_mode': 'adjusted_close', 'checkpoint_enabled': False, 'point_in_time': True, 'execution_data_source': 'snapshot', 'graph_config_sha256': '5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e'}, 'decision_prefix_sha256': '65d33ae93c33f1e25b72e8424d6f9bcc678fba80178fc3f3cae0dd5fe939b506'}",noop
AAPL,AAPL,2024-02-16,2024-02-16T21:00:00+00:00,HOLD,0.0,cached,exact cache hit,tradingagents,M0_original_prompt_2024H1,HOLD,"{'wall_clock_seconds': 0.008916958002373576, 'run_context': {'mode': 'historical', 'as_of': '2024-02-16T21:00:00+00:00'}, 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-02-16', 'last_observation_time_utc': '2024-02-16T21:00:00+00:00', 'row_count': 282, 'sha256': 'a45bb8896410ab8df3fc861bdffa43425e4adf86f83e43c59104f8e1fa10d497'}, 'report_path': 'strategy/cases/AAPL/2024-02-16/reports', 'source_audit_path': 'strategy/cases/AAPL/2024-02-16/source_audit.json', 'cache_key': '5f79333ad9d2f0664704360b2af6ebd7951a8b3910fc59c6ff263c56451ea86a', 'cache_status': 'hit', 'model_config': {'llm_provider': 'deepseek', 'quick_think_llm': 'deepseek-v4-flash', 'deep_think_llm': 'deepseek-v4-flash', 'backend_url': None, 'deepseek_thinking': 'disabled', 'temperature': 0.0, 'llm_max_retries': None, 'selected_analysts': ['market', 'social', 'news', 'fundamentals'], 'output_language': 'English', 'research_depth': 'medium', 'max_debate_rounds': 3, 'max_risk_discuss_rounds': 3, 'max_recur_limit': 100, 'news_article_limit': 20, 'global_news_article_limit': 10, 'global_news_lookback_days': 7, 'global_news_queries': ['Federal Reserve interest rates inflation', 'S&P 500 earnings GDP economic outlook', 'geopolitical risk trade war sanctions', 'ECB Bank of England BOJ central bank policy', 'oil commodities supply chain energy'], 'data_vendors': {'core_stock_apis': 'yfinance', 'technical_indicators': 'yfinance', 'fundamental_data': 'yfinance', 'news_data': 'yfinance', 'macro_data': 'fred', 'prediction_markets': 'polymarket'}, 'tool_vendors': {}, 'benchmark_ticker': None, 'benchmark_map': {'.NS': '^NSEI', '.BO': '^BSESN', '.T': '^N225', '.HK': '^HSI', '.L': '^FTSE', '.TO': '^GSPTSE', '.AX': '^AXJO', '.SS': '000001.SS', '.SZ': '399001.SZ', '': 'SPY'}, 'memory_mode': 'experiment', 'memory_log_max_entries': None, 'memory_holding_horizon_sessions': 5, 'memory_outcome_price_mode': 'adjusted_close', 'checkpoint_enabled': False, 'point_in_time': True, 'execution_data_source': 'snapshot', 'graph_config_sha256': '5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e'}, 'decision_prefix_sha256': '259b194bb886a61186c3db8d6184c9d2af65f1a088c1d318cca2a7eb13d8a5a4'}",noop
AAPL,AAPL,2024-02-23,2024-02-23T21:00:00+00:00,HOLD,0.0,cached,exact cache hit,tradingagents,M0_original_prompt_2024H1,HOLD,"{'wall_clock_seconds': 0.011068583989981562, 'run_context': {'mode': 'historical', 'as_of': '2024-02-23T21:00:00+00:00'}, 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-02-23', 'last_observation_time_utc': '2024-02-23T21:00:00+00:00', 'row_count': 286, 'sha256': '715fce9dc6ead05c70b49f67276cf27baa5b6bf2e3e95e71bbb1110602bd97b7'}, 'report_path': 'strategy/cases/AAPL/2024-02-23/reports', 'source_audit_path': 'strategy/cases/AAPL/2024-02-23/source_audit.json', 'cache_key': '0a18cdac113979b524b575aed6442907496de5ade1cde3e6f0e0ab19f9b7d229', 'cache_status': 'hit', 'model_config': {'llm_provider': 'deepseek', 'quick_think_llm': 'deepseek-v4-flash', 'deep_think_llm': 'deepseek-v4-flash', 'backend_url': None, 'deepseek_thinking': 'disabled', 'temperature': 0.0, 'llm_max_retries': None, 'selected_analysts': ['market', 'social', 'news', 'fundamentals'], 'output_language': 'English', 'research_depth': 'medium', 'max_debate_rounds': 3, 'max_risk_discuss_rounds': 3, 'max_recur_limit': 100, 'news_article_limit': 20, 'global_news_article_limit': 10, 'global_news_lookback_days': 7, 'global_news_queries': ['Federal Reserve interest rates inflation', 'S&P 500 earnings GDP economic outlook', 'geopolitical risk trade war sanctions', 'ECB Bank of England BOJ central bank policy', 'oil commodities supply chain energy'], 'data_vendors': {'core_stock_apis': 'yfinance', 'technical_indicators': 'yfinance', 'fundamental_data': 'yfinance', 'news_data': 'yfinance', 'macro_data': 'fred', 'prediction_markets': 'polymarket'}, 'tool_vendors': {}, 'benchmark_ticker': None, 'benchmark_map': {'.NS': '^NSEI', '.BO': '^BSESN', '.T': '^N225', '.HK': '^HSI', '.L': '^FTSE', '.TO': '^GSPTSE', '.AX': '^AXJO', '.SS': '000001.SS', '.SZ': '399001.SZ', '': 'SPY'}, 'memory_mode': 'experiment', 'memory_log_max_entries': None, 'memory_holding_horizon_sessions': 5, 'memory_outcome_price_mode': 'adjusted_close', 'checkpoint_enabled': False, 'point_in_time': True, 'execution_data_source': 'snapshot', 'graph_config_sha256': '5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e'}, 'decision_prefix_sha256': '86d2acf711c8d3d859bd116b8ea1e1b94928aa54f9fd714ca4e748dedd60cb49'}",noop
AAPL,AAPL,2024-03-01,2024-03-01T21:00:00+00:00,SELL,0.0,cached,exact cache hit,tradingagents,M0_original_prompt_2024H1,SELL,"{'wall_clock_seconds': 0.011089999985415488, 'run_context': {'mode': 'historical', 'as_of': '2024-03-01T21:00:00+00:00'}, 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-03-01', 'last_observation_time_utc': '2024-03-01T21:00:00+00:00', 'row_count': 291, 'sha256': '5416ec99c64c894964fee48fccaa8d1052453acaba5762560e649d8de46c6751'}, 'report_path': 'strategy/cases/AAPL/2024-03-01/reports', 'source_audit_path': 'strategy/cases/AAPL/2024-03-01/source_audit.json', 'cache_key': '63ebe00225cb4bd47b7b1f67236f712402fe64b424e2be07081d187e8775a85e', 'cache_status': 'hit', 'model_config': {'llm_provider': 'deepseek', 'quick_think_llm': 'deepseek-v4-flash', 'deep_think_llm': 'deepseek-v4-flash', 'backend_url': None, 'deepseek_thinking': 'disabled', 'temperature': 0.0, 'llm_max_retries': None, 'selected_analysts': ['market', 'social', 'news', 'fundamentals'], 'output_language': 'English', 'research_depth': 'medium', 'max_debate_rounds': 3, 'max_risk_discuss_rounds': 3, 'max_recur_limit': 100, 'news_article_limit': 20, 'global_news_article_limit': 10, 'global_news_lookback_days': 7, 'global_news_queries': ['Federal Reserve interest rates inflation', 'S&P 500 earnings GDP economic outlook', 'geopolitical risk trade war sanctions', 'ECB Bank of England BOJ central bank policy', 'oil commodities supply chain energy'], 'data_vendors': {'core_stock_apis': 'yfinance', 'technical_indicators': 'yfinance', 'fundamental_data': 'yfinance', 'news_data': 'yfinance', 'macro_data': 'fred', 'prediction_markets': 'polymarket'}, 'tool_vendors': {}, 'benchmark_ticker': None, 'benchmark_map': {'.NS': '^NSEI', '.BO': '^BSESN', '.T': '^N225', '.HK': '^HSI', '.L': '^FTSE', '.TO': '^GSPTSE', '.AX': '^AXJO', '.SS': '000001.SS', '.SZ': '399001.SZ', '': 'SPY'}, 'memory_mode': 'experiment', 'memory_log_max_entries': None, 'memory_holding_horizon_sessions': 5, 'memory_outcome_price_mode': 'adjusted_close', 'checkpoint_enabled': False, 'point_in_time': True, 'execution_data_source': 'snapshot', 'graph_config_sha256': '5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e'}, 'decision_prefix_sha256': 'dbf983c86a6c24deb00311933f8c9e57c29242ed2656873905a320e3a0710ccc'}",noop
AAPL,AAPL,2024-03-08,2024-03-08T21:00:00+00:00,HOLD,0.0,cached,exact cache hit,tradingagents,M0_original_prompt_2024H1,HOLD,"{'wall_clock_seconds': 0.009486125025432557, 'run_context': {'mode': 'historical', 'as_of': '2024-03-08T21:00:00+00:00'}, 'market_history_visibility': {'first_session': '2023-01-04', 'last_session': '2024-03-08', 'last_observation_time_utc': '2024-03-08T21:00:00+00:00', 'row_count': 296, 'sha256': '82e83cc97404b16d11f4c025bdfac90652376edb4b46df6746c20e28974c98ef'}, 'report_path': 'strategy/cases/AAPL/2024-03-08/reports', 'source_audit_path': 'strategy/cases/AAPL/2024-03-08/source_audit.json', 'cache_key': 'e78204447c40bf064e3960c6ddf022f8807a998f10ca6734f0756aa459ef0f4c', 'cache_status': 'hit', 'model_config': {'llm_provider': 'deepseek', 'quick_think_llm': 'deepseek-v4-flash', 'deep_think_llm': 'deepseek-v4-flash', 'backend_url': None, 'deepseek_thinking': 'disabled', 'temperature': 0.0, 'llm_max_retries': None, 'selected_analysts': ['market', 'social', 'news', 'fundamentals'], 'output_language': 'English', 'research_depth': 'medium', 'max_debate_rounds': 3, 'max_risk_discuss_rounds': 3, 'max_recur_limit': 100, 'news_article_limit': 20, 'global_news_article_limit': 10, 'global_news_lookback_days': 7, 'global_news_queries': ['Federal Reserve interest rates inflation', 'S&P 500 earnings GDP economic outlook', 'geopolitical risk trade war sanctions', 'ECB Bank of England BOJ central bank policy', 'oil commodities supply chain energy'], 'data_vendors': {'core_stock_apis': 'yfinance', 'technical_indicators': 'yfinance', 'fundamental_data': 'yfinance', 'news_data': 'yfinance', 'macro_data': 'fred', 'prediction_markets': 'polymarket'}, 'tool_vendors': {}, 'benchmark_ticker': None, 'benchmark_map': {'.NS': '^NSEI', '.BO': '^BSESN', '.T': '^N225', '.HK': '^HSI', '.L': '^FTSE', '.TO': '^GSPTSE', '.AX': '^AXJO', '.SS': '000001.SS', '.SZ': '399001.SZ', '': 'SPY'}, 'memory_mode': 'experiment', 'memory_log_max_entries': None, 'memory_holding_horizon_sessions': 5, 'memory_outcome_price_mode': 'adjusted_close', 'checkpoint_enabled': False, 'point_in_time': True, 'execution_data_source': 'snapshot', 'graph_config_sha256': '5b1b6e1c132c13f9830b377ba9d54bf0c792b087e9917af5f0ada9cc895d661e'}, 'decision_prefix_sha256': 'a570428969893b54798a9f7c255373017c7628d9e5de2fd210edac793450baa1'}",noop
