symbol,decision_session,decision_time_utc,action,status,reason,target_weight,portfolio_weight_before,equity_at_decision,rebalance_status,execution_session,order_status,raw_open_price,fill_price,fill_quantity,commission,slippage_cost,total_transaction_cost,position_after,cache_status
AAPL,2024-01-05,2024-01-05T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AAPL,2024-01-12,2024-01-12T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AAPL,2024-01-19,2024-01-19T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AAPL,2024-01-26,2024-01-26T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AAPL,2024-02-02,2024-02-02T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AAPL,2024-02-09,2024-02-09T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AAPL,2024-02-16,2024-02-16T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AAPL,2024-02-23,2024-02-23T21:00:00+00:00,SELL,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AAPL,2024-03-01,2024-03-01T21:00:00+00:00,SELL,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AAPL,2024-03-08,2024-03-08T21:00:00+00:00,SELL,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AAPL,2024-03-15,2024-03-15T20:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AAPL,2024-03-22,2024-03-22T20:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AAPL,2024-03-28,2024-03-28T20:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AAPL,2024-04-05,2024-04-05T20:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AAPL,2024-04-12,2024-04-12T20:00:00+00:00,BUY,success,TradingAgents structured decision,1.0,0.0,100000.0,ordered,2024-04-15,filled,175.3600006,175.4476806003,569.6856444355603,49.97501249375313,49.95003747501398,99.9250499687671,569.6856444355603,miss
AAPL,2024-04-19,2024-04-19T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,1.0,93998.13133186745,noop,,,,,,,,,,miss
AAPL,2024-04-26,2024-04-26T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,1.0,96447.78136896587,noop,,,,,,,,,,miss
AAPL,2024-05-03,2024-05-03T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,1.0,104468.9562680527,noop,,,,,,,,,,miss
AAPL,2024-05-10,2024-05-10T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,0.9986361156804584,104423.3803910637,noop,,,,,,,,,,miss
AAPL,2024-05-17,2024-05-17T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,0.9986850409928292,108308.63192862908,noop,,,,,,,,,,miss
AAPL,2024-05-24,2024-05-24T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,0.9986858013686009,108371.29769132836,noop,,,,,,,,,,miss
AAPL,2024-05-31,2024-05-31T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,0.9987012987012986,109664.48655384537,noop,,,,,,,,,,miss
AAPL,2024-06-07,2024-06-07T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,0.9987318656753531,112307.82760221498,noop,,,,,,,,,,miss
AAPL,2024-06-14,2024-06-14T20:00:00+00:00,BUY,success,TradingAgents structured decision,1.0,0.9988248566628903,121194.92713049216,noop,,,,,,,,,,miss
AAPL,2024-06-21,2024-06-21T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,0.9987965726707367,118346.49890831434,noop,,,,,,,,,,miss
AAPL,2024-06-28,2024-06-28T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,0.9988144354066046,120129.60905066696,noop,,,,,,,,,,miss
AMZN,2024-01-05,2024-01-05T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AMZN,2024-01-12,2024-01-12T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AMZN,2024-01-19,2024-01-19T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AMZN,2024-01-26,2024-01-26T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AMZN,2024-02-02,2024-02-02T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AMZN,2024-02-09,2024-02-09T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AMZN,2024-02-16,2024-02-16T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AMZN,2024-02-23,2024-02-23T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AMZN,2024-03-01,2024-03-01T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AMZN,2024-03-08,2024-03-08T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AMZN,2024-03-15,2024-03-15T20:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AMZN,2024-03-22,2024-03-22T20:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AMZN,2024-03-28,2024-03-28T20:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AMZN,2024-04-05,2024-04-05T20:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
AMZN,2024-04-12,2024-04-12T20:00:00+00:00,BUY,success,TradingAgents structured decision,1.0,0.0,100000.0,ordered,2024-04-15,filled,187.4299927,187.52370769635002,532.9994069301973,49.97501249375312,49.95003747501663,99.92504996876974,532.9994069301973,miss
AMZN,2024-04-19,2024-04-19T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,1.0,93077.68904391745,noop,,,,,,,,,,miss
AMZN,2024-04-26,2024-04-26T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,1.0,95737.35086110496,noop,,,,,,,,,,miss
AMZN,2024-05-03,2024-05-03T20:00:00+00:00,BUY,success,TradingAgents structured decision,1.0,1.0,99249.82313556808,noop,,,,,,,,,,miss
AMZN,2024-05-10,2024-05-10T20:00:00+00:00,BUY,success,TradingAgents structured decision,1.0,1.0,99926.72651937594,noop,,,,,,,,,,miss
AMZN,2024-05-17,2024-05-17T20:00:00+00:00,BUY,success,TradingAgents structured decision,1.0,1.0,98444.98880770929,noop,,,,,,,,,,miss
AMZN,2024-05-24,2024-05-24T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,1.0,96339.64280263317,noop,,,,,,,,,,miss
AMZN,2024-05-31,2024-05-31T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,1.0,94042.4166379626,noop,,,,,,,,,,miss
AMZN,2024-06-07,2024-06-07T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,1.0,98231.79234953353,noop,,,,,,,,,,miss
AMZN,2024-06-14,2024-06-14T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,1.0,97890.67304889785,noop,,,,,,,,,,miss
AMZN,2024-06-21,2024-06-21T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,1.0,100779.52882176064,noop,,,,,,,,,,miss
AMZN,2024-06-28,2024-06-28T20:00:00+00:00,HOLD,success,TradingAgents structured decision,1.0,1.0,103002.13538926063,noop,,,,,,,,,,miss
JPM,2024-01-05,2024-01-05T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
JPM,2024-01-12,2024-01-12T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
JPM,2024-01-19,2024-01-19T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
JPM,2024-01-26,2024-01-26T21:00:00+00:00,HOLD,success,TradingAgents structured decision,0.0,0.0,100000.0,noop,,,,,,,,,,miss
