session,symbol,series,drawdown
2023-10-06,AAPL,strategy,0.0
2023-10-09,AAPL,strategy,0.0
2023-10-10,AAPL,strategy,0.0
2023-10-11,AAPL,strategy,0.0
2023-10-12,AAPL,strategy,0.0
2023-10-13,AAPL,strategy,0.0
2023-10-16,AAPL,strategy,0.0
2023-10-17,AAPL,strategy,0.0
2023-10-18,AAPL,strategy,0.0
2023-10-19,AAPL,strategy,0.0
2023-10-20,AAPL,strategy,0.0
2023-10-23,AAPL,strategy,0.0
2023-10-24,AAPL,strategy,0.0
2023-10-25,AAPL,strategy,0.0
2023-10-26,AAPL,strategy,0.0
2023-10-27,AAPL,strategy,0.0
2023-10-30,AAPL,strategy,0.0
2023-10-31,AAPL,strategy,0.0
2023-11-01,AAPL,strategy,0.0
2023-11-02,AAPL,strategy,0.0
2023-11-03,AAPL,strategy,0.0
2023-10-06,AAPL,same_stock_buy_and_hold,0.0
2023-10-09,AAPL,same_stock_buy_and_hold,0.0
2023-10-10,AAPL,same_stock_buy_and_hold,-0.0033521765549083815
2023-10-11,AAPL,same_stock_buy_and_hold,0.0
2023-10-12,AAPL,same_stock_buy_and_hold,0.0
2023-10-13,AAPL,same_stock_buy_and_hold,-0.010292737153664189
2023-10-16,AAPL,same_stock_buy_and_hold,-0.011012148891697215
2023-10-17,AAPL,same_stock_buy_and_hold,-0.01970014203978221
2023-10-18,AAPL,same_stock_buy_and_hold,-0.026949312265174052
2023-10-19,AAPL,same_stock_buy_and_hold,-0.029052071304029203
2023-10-20,AAPL,same_stock_buy_and_hold,-0.04332909916271943
2023-10-23,AAPL,same_stock_buy_and_hold,-0.04266507893389382
2023-10-24,AAPL,same_stock_buy_and_hold,-0.040230225391276075
2023-10-25,AAPL,same_stock_buy_and_hold,-0.053179128126278785
2023-10-26,AAPL,same_stock_buy_and_hold,-0.07647615952415321
2023-10-27,AAPL,same_stock_buy_and_hold,-0.06911629149975562
2023-10-30,AAPL,same_stock_buy_and_hold,-0.057661518530617295
2023-10-31,AAPL,same_stock_buy_and_hold,-0.05500526828324215
2023-11-01,AAPL,same_stock_buy_and_hold,-0.03729735626200925
2023-11-02,AAPL,same_stock_buy_and_hold,-0.017375902183506486
2023-11-03,AAPL,same_stock_buy_and_hold,-0.022467005973499266
2023-10-06,SPY,SPY,0.0
2023-10-09,SPY,SPY,0.0
2023-10-10,SPY,SPY,0.0
2023-10-11,SPY,SPY,0.0
2023-10-12,SPY,SPY,-0.006096451126457403
2023-10-13,SPY,SPY,-0.011046954573150969
2023-10-16,SPY,SPY,-0.0006417280787388568
2023-10-17,SPY,SPY,-0.0006876106870654652
2023-10-18,SPY,SPY,-0.014003519659365304
2023-10-19,SPY,SPY,-0.022666883100778468
2023-10-20,SPY,SPY,-0.03467639495522157
2023-10-23,SPY,SPY,-0.03634950388395808
2023-10-24,SPY,SPY,-0.029084163429789034
2023-10-25,SPY,SPY,-0.04301892919408179
2023-10-26,SPY,SPY,-0.05447840828361661
2023-10-27,SPY,SPY,-0.05876424223281307
2023-10-30,SPY,SPY,-0.04751102551606501
2023-10-31,SPY,SPY,-0.04152914099018434
2023-11-01,SPY,SPY,-0.031307305123433715
2023-11-02,SPY,SPY,-0.012742935017823087
2023-11-03,SPY,SPY,-0.003735801413477735
2023-10-06,ALL,equal_weight_strategy,0.0
2023-10-09,ALL,equal_weight_strategy,0.0
2023-10-10,ALL,equal_weight_strategy,0.0
2023-10-11,ALL,equal_weight_strategy,0.0
2023-10-12,ALL,equal_weight_strategy,0.0
2023-10-13,ALL,equal_weight_strategy,0.0
2023-10-16,ALL,equal_weight_strategy,0.0
2023-10-17,ALL,equal_weight_strategy,0.0
2023-10-18,ALL,equal_weight_strategy,0.0
2023-10-19,ALL,equal_weight_strategy,0.0
2023-10-20,ALL,equal_weight_strategy,0.0
2023-10-23,ALL,equal_weight_strategy,0.0
2023-10-24,ALL,equal_weight_strategy,0.0
2023-10-25,ALL,equal_weight_strategy,0.0
2023-10-26,ALL,equal_weight_strategy,0.0
2023-10-27,ALL,equal_weight_strategy,0.0
2023-10-30,ALL,equal_weight_strategy,0.0
2023-10-31,ALL,equal_weight_strategy,0.0
2023-11-01,ALL,equal_weight_strategy,0.0
2023-11-02,ALL,equal_weight_strategy,0.0
2023-11-03,ALL,equal_weight_strategy,0.0
