session,symbol,series,equity,normalized_equity
2023-10-06,AAPL,strategy,100000.0,1.0
2023-10-09,AAPL,strategy,100000.0,1.0
2023-10-10,AAPL,strategy,100000.0,1.0
2023-10-11,AAPL,strategy,100000.0,1.0
2023-10-12,AAPL,strategy,100000.0,1.0
2023-10-13,AAPL,strategy,100000.0,1.0
2023-10-16,AAPL,strategy,100000.0,1.0
2023-10-17,AAPL,strategy,100000.0,1.0
2023-10-18,AAPL,strategy,100000.0,1.0
2023-10-19,AAPL,strategy,100000.0,1.0
2023-10-20,AAPL,strategy,100000.0,1.0
2023-10-23,AAPL,strategy,100000.0,1.0
2023-10-24,AAPL,strategy,100000.0,1.0
2023-10-25,AAPL,strategy,100000.0,1.0
2023-10-26,AAPL,strategy,100000.0,1.0
2023-10-27,AAPL,strategy,100000.0,1.0
2023-10-30,AAPL,strategy,100000.0,1.0
2023-10-31,AAPL,strategy,100000.0,1.0
2023-11-01,AAPL,strategy,100000.0,1.0
2023-11-02,AAPL,strategy,100000.0,1.0
2023-11-03,AAPL,strategy,100000.0,1.0
2023-10-06,AAPL,same_stock_buy_and_hold,100000.0,1.0
2023-10-09,AAPL,same_stock_buy_and_hold,101131.80932906987,1.0113180932906987
2023-10-10,AAPL,same_stock_buy_and_hold,100792.7976488815,1.007927976488815
2023-10-11,AAPL,same_stock_buy_and_hold,101589.46908840322,1.0158946908840323
2023-10-12,AAPL,same_stock_buy_and_hold,102103.63361008634,1.0210363361008634
2023-10-13,AAPL,same_stock_buy_and_hold,101052.70774690369,1.010527077469037
2023-10-16,AAPL,same_stock_buy_and_hold,100979.25319438877,1.0097925319438876
2023-10-17,AAPL,same_stock_buy_and_hold,100092.17752518976,1.0009217752518977
2023-10-18,AAPL,same_stock_buy_and_hold,99352.01090451921,0.9935201090451921
2023-10-19,AAPL,same_stock_buy_and_hold,99137.31156604564,0.9913731156604564
2023-10-20,AAPL,same_stock_buy_and_hold,97679.57514452093,0.9767957514452094
2023-10-23,AAPL,same_stock_buy_and_hold,97747.37402267463,0.9774737402267463
2023-10-24,AAPL,same_stock_buy_and_hold,97995.9814166843,0.979959814166843
2023-10-25,AAPL,same_stock_buy_and_hold,96673.85139617693,0.9667385139617694
2023-10-26,AAPL,same_stock_buy_and_hold,94295.13983812569,0.9429513983812569
2023-10-27,AAPL,same_stock_buy_and_hold,95046.60910630737,0.9504660910630737
2023-10-30,AAPL,same_stock_buy_and_hold,96216.183048635,0.96216183048635
2023-10-31,AAPL,same_stock_buy_and_hold,96487.39585066968,0.9648739585066968
2023-11-01,AAPL,same_stock_buy_and_hold,98295.43801168528,0.9829543801168529
2023-11-02,AAPL,same_stock_buy_and_hold,100329.49085989689,1.0032949085989689
2023-11-03,AAPL,same_stock_buy_and_hold,99809.67066385255,0.9980967066385255
2023-10-06,SPY,SPY,100000.0,1.0
2023-10-09,SPY,SPY,101000.52762689254,1.0100052762689253
2023-10-10,SPY,SPY,101526.21913650907,1.0152621913650908
2023-10-11,SPY,SPY,101942.09925041467,1.0194209925041466
2023-10-12,SPY,SPY,101320.61422460605,1.0132061422460605
2023-10-13,SPY,SPY,100815.9495109037,1.008159495109037
2023-10-16,SPY,SPY,101876.6801429201,1.018766801429201
2023-10-17,SPY,SPY,101872.0027735082,1.0187200277350819
2023-10-18,SPY,SPY,100514.55105944452,1.0051455105944451
2023-10-19,SPY,SPY,99631.38960365756,0.9963138960365756
2023-10-20,SPY,SPY,98407.1147542429,0.984071147542429
2023-10-23,SPY,SPY,98236.55451777288,0.9823655451777288
2023-10-24,SPY,SPY,98977.19857543983,0.9897719857543983
2023-10-25,SPY,SPY,97556.65930086502,0.9755665930086502
2023-10-26,SPY,SPY,96388.45594616162,0.9638845594616161
2023-10-27,SPY,SPY,95951.54903634184,0.9595154903634183
2023-10-30,SPY,SPY,97098.72557176699,0.9709872557176699
2023-10-31,SPY,SPY,97708.53143780884,0.9770853143780883
2023-11-01,SPY,SPY,98750.56684425857,0.9875056684425857
2023-11-02,SPY,SPY,100643.05770408617,1.0064305770408617
2023-11-03,SPY,SPY,101561.26381194209,1.0156126381194208
2023-10-06,ALL,equal_weight_strategy,1.0,1.0
2023-10-09,ALL,equal_weight_strategy,1.0,1.0
2023-10-10,ALL,equal_weight_strategy,1.0,1.0
2023-10-11,ALL,equal_weight_strategy,1.0,1.0
2023-10-12,ALL,equal_weight_strategy,1.0,1.0
2023-10-13,ALL,equal_weight_strategy,1.0,1.0
2023-10-16,ALL,equal_weight_strategy,1.0,1.0
2023-10-17,ALL,equal_weight_strategy,1.0,1.0
2023-10-18,ALL,equal_weight_strategy,1.0,1.0
2023-10-19,ALL,equal_weight_strategy,1.0,1.0
2023-10-20,ALL,equal_weight_strategy,1.0,1.0
2023-10-23,ALL,equal_weight_strategy,1.0,1.0
2023-10-24,ALL,equal_weight_strategy,1.0,1.0
2023-10-25,ALL,equal_weight_strategy,1.0,1.0
2023-10-26,ALL,equal_weight_strategy,1.0,1.0
2023-10-27,ALL,equal_weight_strategy,1.0,1.0
2023-10-30,ALL,equal_weight_strategy,1.0,1.0
2023-10-31,ALL,equal_weight_strategy,1.0,1.0
2023-11-01,ALL,equal_weight_strategy,1.0,1.0
2023-11-02,ALL,equal_weight_strategy,1.0,1.0
2023-11-03,ALL,equal_weight_strategy,1.0,1.0
