Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-10-05,552,552,536,536,67,0,0
2022-10-06,544,552,464,536,99,0,0
2022-10-07,520,544,504,504,72,0,0
2022-10-10,512,512,464,472,81,0,0
2022-10-11,472,520,464,480,135,0,0
2022-10-12,496,504,480,488,71,0,0
2022-10-13,496,520,464,496,207,0,0
2022-10-14,512,512,464,464,94,0,0
2022-10-17,480,504,464,472,202,0,0
2022-10-18,472,496,472,472,83,0,0
2022-10-19,480,480,464,472,84,0,0
2022-10-20,496,504,456,480,148,0,0
2022-10-21,472,480,456,464,117,0,0
2022-10-24,472,472,392,400,487,0,0
2022-10-25,400,424,392,416,164,0,0
2022-10-26,416,424,384,384,294,0,0
2022-10-27,400,400,384,392,126,0,0
2022-10-28,400,400,368,384,158,0,0
2022-10-31,400,408,392,392,153,0,0
2022-11-01,400,408,392,408,215,0,0
2022-11-02,408,408,384,384,222,0,0
2022-11-03,408,416,392,408,218,0,0
2022-11-04,408,408,392,408,117,0,0
2022-11-07,416,416,400,408,57,0,0
2022-11-08,408,416,400,408,112,0,0
2022-11-09,400,408,368,376,202,0,0
2022-11-10,376,416,376,384,302,0,0
2022-11-11,408,408,384,400,142,0,0
2022-11-14,400,408,392,400,144,0,0
2022-11-15,400,408,360,368,612,0,0
2022-11-16,352,368,328,360,2620,0,0
2022-11-17,336,360,336,352,929,0,0
2022-11-18,344,344,328,336,284,0,0
2022-11-21,328,336,320,328,200,0,0
2022-11-22,320,328,312,320,97,0,0
2022-11-23,320,352,312,352,184,0,0
2022-11-25,352,352,336,344,63,0,0
2022-11-28,320,360,320,344,213,0,0
2022-11-29,352,352,320,344,167,0,0
2022-11-30,336,344,328,336,154,0,0
2022-12-01,336,352,328,344,84,0,0
2022-12-02,360,360,336,336,82,0,0
2022-12-05,328,344,320,328,87,0,0
2022-12-06,320,328,320,320,105,0,0
2022-12-07,312,336,304,304,134,0,0
2022-12-08,304,328,304,312,72,0,0
2022-12-09,312,328,288,296,192,0,0
2022-12-12,296,320,296,296,224,0,0
2022-12-13,288,320,288,312,88,0,0
2022-12-14,312,312,264,264,432,0,0
2022-12-15,280,304,240,240,516,0,0
2022-12-16,264,264,216,216,445,0,0
2022-12-19,216,248,208,208,618,0,0
2022-12-20,224,272,216,232,460,0,0
2022-12-21,240,272,232,232,90,0,0
2022-12-22,232,240,184,200,387,0,0
2022-12-23,224,224,200,200,182,0,0
