Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-10-05,26.54999924,26.54999924,24.60000038,25.75,1173440,0,0
2022-10-06,25.70000076,26.29999924,24.45000076,24.64999962,1727320,0,0
2022-10-07,24.35000038,25,23.95000076,24.20000076,1908860,0,0
2022-10-10,24.35000038,24.5,22.54999924,22.54999924,1409080,0,0
2022-10-11,22.79999924,25.45000076,21.89999962,25.20000076,2158060,0,0
2022-10-12,25.04999924,25.5,23.45000076,24.39999962,1603860,0,0
2022-10-13,23.85000038,24.75,23.39999962,24.70000076,1304200,0,0
2022-10-14,24.35000038,24.70000076,23.39999962,23.39999962,1032760,0.5,0
2022-10-17,23.70000076,24.54999924,23.39999962,24,836020,0,0
2022-10-18,24.35000038,25,24,24.25,716420,0,0
2022-10-19,24,24.29999924,23.35000038,23.95000076,820940,0,0
2022-10-20,23.95000076,24.25,23.60000038,23.79999924,475480,0,0
2022-10-21,23.79999924,24.14999962,23.35000038,23.95000076,577360,0,0
2022-10-24,24.14999962,24.14999962,23.35000038,23.85000038,619360,0,0
2022-10-25,23.75,25.14999962,23.39999962,24.79999924,981160,0,0
2022-10-26,25,25.64999962,24.54999924,25.25,692540,0,0
2022-10-27,26.04999924,27.25,25.79999924,26.14999962,1516740,0,0
2022-10-28,26.14999962,26.79999924,25.95000076,26.70000076,1370340,0,0
2022-10-31,26.64999962,27.25,26.39999962,26.60000038,1008040,0,0
2022-11-01,27.10000038,27.25,26.25,26.75,1074300,0,0
2022-11-02,26.75,27.35000038,26.20000076,26.20000076,1021140,0,0
2022-11-03,25.85000038,26.10000038,25.20000076,25.85000038,776560,0,0
2022-11-04,26.29999924,27.10000038,26.29999924,27,785160,0,0
2022-11-07,27.04999924,27.45000076,26.60000038,27.45000076,1070920,0,0
2022-11-08,27.64999962,28.14999962,27.29999924,27.75,1470160,0,0
2022-11-09,27.64999962,28.04999924,27,27.64999962,983660,0,0
2022-11-10,28.64999962,29.70000076,28.54999924,29.64999962,1762940,0,0
2022-11-11,29.89999962,30.5,29.20000076,30.45000076,1313360,0,0
2022-11-14,29.95000076,30.10000038,28.35000038,28.35000038,1355520,0.5,0
2022-11-15,28.75,29.20000076,28.14999962,28.45000076,1204180,0,0
2022-11-16,28.29999924,28.29999924,27.39999962,27.85000038,1104840,0,0
2022-11-17,27.45000076,27.95000076,27.14999962,27.79999924,569560,0,0
2022-11-18,27.95000076,28.39999962,27.39999962,27.89999962,746940,0,0
2022-11-21,27.89999962,28.64999962,27.85000038,28.35000038,537560,0,0
2022-11-22,28.5,28.75,28.20000076,28.45000076,604320,0,0
2022-11-23,28.54999924,29.10000038,28.25,28.79999924,515000,0,0
2022-11-25,28.95000076,29.5,28.95000076,29.45000076,374160,0,0
2022-11-28,29.39999962,29.60000038,28.95000076,29.04999924,699280,0,0
2022-11-29,28.95000076,29.04999924,28.64999962,29,711340,0,0
2022-11-30,28.85000038,29.5,28.45000076,29.39999962,1265740,0,0
2022-12-01,29.60000038,30.25,29.54999924,29.70000076,1048300,0,0
2022-12-02,29.5,29.70000076,28.95000076,29.60000038,933980,0,0
2022-12-05,29.64999962,29.64999962,29.04999924,29.14999962,865740,0,0
2022-12-06,29.20000076,29.25,28.54999924,28.85000038,856500,0,0
2022-12-07,28.79999924,29.39999962,28.5,29.29999924,657660,0,0
2022-12-08,29.35000038,29.70000076,29.25,29.5,660260,0,0
2022-12-09,29.5,30.10000038,29.10000038,29.5,1987920,0,0
2022-12-12,29.79999924,29.79999924,29,29.5,957780,0,0
2022-12-13,30.14999962,30.64999962,29.20000076,29.25,2150040,0,0
2022-12-14,28.70000076,29.14999962,28.25,28.95000076,921580,0.5,0
2022-12-15,28.75,29.39999962,28.39999962,29.10000038,926340,0,0
2022-12-16,28.64999962,28.79999924,28.29999924,28.35000038,3007360,0,0
2022-12-19,28.25,28.75,27.85000038,28.70000076,902100,0,0
2022-12-20,28.54999924,28.64999962,27.95000076,28.39999962,781140,0,0
2022-12-21,28.75,29.25,28.70000076,28.85000038,1004000,0,0
2022-12-22,28.70000076,29.25,28.39999962,29.25,660260,0,0
2022-12-23,29.14999962,29.45000076,29.10000038,29.45000076,538920,0,0
2022-12-27,29.25,29.25,28.75,28.85000038,661860,0,0
2022-12-28,28.85000038,29,27.85000038,27.95000076,837780,0,0
2022-12-29,28.25,28.89999962,28,28.45000076,719920,0,0
2022-12-30,28.25,28.45000076,27.95000076,28.14999962,639660,0,0
2023-01-03,28.45000076,29.25,28.39999962,28.95000076,700340,0,0
2023-01-04,29.04999924,29.54999924,28.75,28.85000038,1525660,0,0
2023-01-05,28.85000038,29,28.45000076,28.5,1068620,0,0
2023-01-06,28.60000038,29,28.04999924,28.89999962,1068180,0,0
2023-01-09,29.14999962,29.64999962,29.04999924,29.29999924,1215080,0,0
2023-01-10,29.35000038,29.89999962,29.20000076,29.79999924,1157880,0,0
2023-01-11,30,30.70000076,29.95000076,30.14999962,1839800,0,0
2023-01-12,30.39999962,30.89999962,30.20000076,30.70000076,1295420,0,0
2023-01-13,29.89999962,30.39999962,29.64999962,30.39999962,1069860,0.5,0
2023-01-17,30.25,30.70000076,30.14999962,30.45000076,770420,0,0
2023-01-18,30.54999924,30.79999924,30,30.29999924,1434540,0,0
2023-01-19,30,30.54999924,29.85000038,30.35000038,986680,0,0
2023-01-20,30.5,30.60000038,30.20000076,30.54999924,1078600,0,0
2023-01-23,30.39999962,30.54999924,30.25,30.35000038,1121600,0,0
2023-01-24,30.35000038,30.79999924,30.04999924,30.25,1006940,0,0
2023-01-25,30.10000038,30.25,29.95000076,30.04999924,870540,0,0
2023-01-26,30.25,31.04999924,30.20000076,30.54999924,1790480,0,0
2023-01-27,30.54999924,31.20000076,30.54999924,31.04999924,1290220,0,0
2023-01-30,30.89999962,31,30.5,30.79999924,996160,0,0
2023-01-31,31.04999924,31.64999962,30.95000076,31.39999962,1632040,0,0
2023-02-01,31.5,32.59999847,31.29999924,32.34999847,1875540,0,0
2023-02-02,32.95000076,33.40000153,32.25,32.5,1799060,0,0
2023-02-03,32.20000076,32.34999847,31.89999962,32.09999847,1747720,0,0
2023-02-06,31.79999924,31.95000076,30.75,30.85000038,1573080,0,0
2023-02-07,30.89999962,30.95000076,30.29999924,30.95000076,2266640,0,0
2023-02-08,30.95000076,31.14999962,30.60000038,30.85000038,1416560,0,0
2023-02-09,31.25,31.64999962,30.25,30.35000038,1929180,0,0
2023-02-10,30.25,30.75,30.25,30.39999962,1313820,0,0
