case_id,symbol,decision_session,role,in_compact,in_standard,in_maximum,protected,engineering_only
AAPL:2023-05-05,AAPL,2023-05-05,TRAIN,False,False,True,false,false
AAPL:2023-05-12,AAPL,2023-05-12,TRAIN,False,False,True,false,false
AAPL:2023-05-19,AAPL,2023-05-19,TRAIN,False,True,True,false,false
AAPL:2023-05-26,AAPL,2023-05-26,TRAIN,True,True,True,false,false
AAPL:2023-06-02,AAPL,2023-06-02,TRAIN,True,True,True,false,false
AAPL:2023-06-09,AAPL,2023-06-09,TRAIN,True,True,True,false,false
AAPL:2023-06-16,AAPL,2023-06-16,TRAIN,True,True,True,false,false
AAPL:2023-06-30,AAPL,2023-06-30,VALIDATION,True,True,True,false,false
AAPL:2023-07-07,AAPL,2023-07-07,VALIDATION,True,True,True,false,false
AAPL:2023-07-21,AAPL,2023-07-21,FINAL_HOLDOUT,True,True,True,true,false
AAPL:2023-07-28,AAPL,2023-07-28,FINAL_HOLDOUT,True,True,True,true,false
AAPL:2023-10-06,AAPL,2023-10-06,E2E_PILOT,True,True,True,false,true
AMZN:2023-05-05,AMZN,2023-05-05,TRAIN,False,False,True,false,false
AMZN:2023-05-12,AMZN,2023-05-12,TRAIN,False,False,True,false,false
AMZN:2023-05-19,AMZN,2023-05-19,TRAIN,False,True,True,false,false
AMZN:2023-05-26,AMZN,2023-05-26,TRAIN,True,True,True,false,false
AMZN:2023-06-02,AMZN,2023-06-02,TRAIN,True,True,True,false,false
AMZN:2023-06-09,AMZN,2023-06-09,TRAIN,True,True,True,false,false
AMZN:2023-06-16,AMZN,2023-06-16,TRAIN,True,True,True,false,false
AMZN:2023-06-30,AMZN,2023-06-30,VALIDATION,True,True,True,false,false
AMZN:2023-07-07,AMZN,2023-07-07,VALIDATION,True,True,True,false,false
AMZN:2023-07-21,AMZN,2023-07-21,FINAL_HOLDOUT,True,True,True,true,false
AMZN:2023-07-28,AMZN,2023-07-28,FINAL_HOLDOUT,True,True,True,true,false
AMZN:2023-10-06,AMZN,2023-10-06,E2E_PILOT,True,True,True,false,true
JPM:2023-05-05,JPM,2023-05-05,TRAIN,False,False,True,false,false
JPM:2023-05-12,JPM,2023-05-12,TRAIN,False,False,True,false,false
JPM:2023-05-19,JPM,2023-05-19,TRAIN,False,True,True,false,false
JPM:2023-05-26,JPM,2023-05-26,TRAIN,True,True,True,false,false
JPM:2023-06-02,JPM,2023-06-02,TRAIN,True,True,True,false,false
JPM:2023-06-09,JPM,2023-06-09,TRAIN,True,True,True,false,false
JPM:2023-06-16,JPM,2023-06-16,TRAIN,True,True,True,false,false
JPM:2023-06-30,JPM,2023-06-30,VALIDATION,True,True,True,false,false
JPM:2023-07-07,JPM,2023-07-07,VALIDATION,True,True,True,false,false
JPM:2023-07-21,JPM,2023-07-21,FINAL_HOLDOUT,True,True,True,true,false
JPM:2023-07-28,JPM,2023-07-28,FINAL_HOLDOUT,True,True,True,true,false
JPM:2023-10-06,JPM,2023-10-06,E2E_PILOT,True,True,True,false,true
JBSS:2023-05-05,JBSS,2023-05-05,TRAIN,False,False,True,false,false
JBSS:2023-05-12,JBSS,2023-05-12,TRAIN,False,False,True,false,false
JBSS:2023-05-19,JBSS,2023-05-19,TRAIN,False,True,True,false,false
JBSS:2023-05-26,JBSS,2023-05-26,TRAIN,True,True,True,false,false
JBSS:2023-06-02,JBSS,2023-06-02,TRAIN,True,True,True,false,false
JBSS:2023-06-09,JBSS,2023-06-09,TRAIN,True,True,True,false,false
JBSS:2023-06-16,JBSS,2023-06-16,TRAIN,True,True,True,false,false
JBSS:2023-06-30,JBSS,2023-06-30,VALIDATION,True,True,True,false,false
JBSS:2023-07-07,JBSS,2023-07-07,VALIDATION,True,True,True,false,false
JBSS:2023-07-21,JBSS,2023-07-21,FINAL_HOLDOUT,True,True,True,true,false
JBSS:2023-07-28,JBSS,2023-07-28,FINAL_HOLDOUT,True,True,True,true,false
JBSS:2023-10-06,JBSS,2023-10-06,E2E_PILOT,True,True,True,false,true
EML:2023-05-05,EML,2023-05-05,TRAIN,False,False,True,false,false
EML:2023-05-12,EML,2023-05-12,TRAIN,False,False,True,false,false
EML:2023-05-19,EML,2023-05-19,TRAIN,False,True,True,false,false
EML:2023-05-26,EML,2023-05-26,TRAIN,True,True,True,false,false
EML:2023-06-02,EML,2023-06-02,TRAIN,True,True,True,false,false
EML:2023-06-09,EML,2023-06-09,TRAIN,True,True,True,false,false
EML:2023-06-16,EML,2023-06-16,TRAIN,True,True,True,false,false
EML:2023-06-30,EML,2023-06-30,VALIDATION,True,True,True,false,false
EML:2023-07-07,EML,2023-07-07,VALIDATION,True,True,True,false,false
EML:2023-07-21,EML,2023-07-21,FINAL_HOLDOUT,True,True,True,true,false
EML:2023-07-28,EML,2023-07-28,FINAL_HOLDOUT,True,True,True,true,false
EML:2023-10-06,EML,2023-10-06,E2E_PILOT,True,True,True,false,true
AGI:2023-05-05,AGI,2023-05-05,TRAIN,False,False,True,false,false
AGI:2023-05-12,AGI,2023-05-12,TRAIN,False,False,True,false,false
AGI:2023-05-19,AGI,2023-05-19,TRAIN,False,True,True,false,false
AGI:2023-05-26,AGI,2023-05-26,TRAIN,True,True,True,false,false
AGI:2023-06-02,AGI,2023-06-02,TRAIN,True,True,True,false,false
AGI:2023-06-09,AGI,2023-06-09,TRAIN,True,True,True,false,false
AGI:2023-06-16,AGI,2023-06-16,TRAIN,True,True,True,false,false
AGI:2023-06-30,AGI,2023-06-30,VALIDATION,True,True,True,false,false
AGI:2023-07-07,AGI,2023-07-07,VALIDATION,True,True,True,false,false
AGI:2023-07-21,AGI,2023-07-21,FINAL_HOLDOUT,True,True,True,true,false
AGI:2023-07-28,AGI,2023-07-28,FINAL_HOLDOUT,True,True,True,true,false
AGI:2023-10-06,AGI,2023-10-06,E2E_PILOT,True,True,True,false,true
ARR:2023-05-05,ARR,2023-05-05,TRAIN,False,False,True,false,false
ARR:2023-05-12,ARR,2023-05-12,TRAIN,False,False,True,false,false
ARR:2023-05-19,ARR,2023-05-19,TRAIN,False,True,True,false,false
ARR:2023-05-26,ARR,2023-05-26,TRAIN,True,True,True,false,false
ARR:2023-06-02,ARR,2023-06-02,TRAIN,True,True,True,false,false
ARR:2023-06-09,ARR,2023-06-09,TRAIN,True,True,True,false,false
ARR:2023-06-16,ARR,2023-06-16,TRAIN,True,True,True,false,false
ARR:2023-06-30,ARR,2023-06-30,VALIDATION,True,True,True,false,false
ARR:2023-07-07,ARR,2023-07-07,VALIDATION,True,True,True,false,false
ARR:2023-07-21,ARR,2023-07-21,FINAL_HOLDOUT,True,True,True,true,false
ARR:2023-07-28,ARR,2023-07-28,FINAL_HOLDOUT,True,True,True,true,false
ARR:2023-10-06,ARR,2023-10-06,E2E_PILOT,True,True,True,false,true
AEMD:2023-05-05,AEMD,2023-05-05,TRAIN,False,False,True,false,false
AEMD:2023-05-12,AEMD,2023-05-12,TRAIN,False,False,True,false,false
AEMD:2023-05-19,AEMD,2023-05-19,TRAIN,False,True,True,false,false
AEMD:2023-05-26,AEMD,2023-05-26,TRAIN,True,True,True,false,false
AEMD:2023-06-02,AEMD,2023-06-02,TRAIN,True,True,True,false,false
AEMD:2023-06-09,AEMD,2023-06-09,TRAIN,True,True,True,false,false
AEMD:2023-06-16,AEMD,2023-06-16,TRAIN,True,True,True,false,false
AEMD:2023-06-30,AEMD,2023-06-30,VALIDATION,True,True,True,false,false
AEMD:2023-07-07,AEMD,2023-07-07,VALIDATION,True,True,True,false,false
AEMD:2023-07-21,AEMD,2023-07-21,FINAL_HOLDOUT,True,True,True,true,false
AEMD:2023-07-28,AEMD,2023-07-28,FINAL_HOLDOUT,True,True,True,true,false
AEMD:2023-10-06,AEMD,2023-10-06,E2E_PILOT,True,True,True,false,true
