case_id,symbol,split_role,decision_session,state_template,R1_action_spread,R1_best_action_set,R2_action_spread,R2_best_action_set,R3_action_spread,R3_best_action_set,R2_R3_best_set_changed
AAPL:2023-05-05,AAPL,TRAIN,2023-05-05,CASH,0.00091175443531781497,{BUY},0.00091175443531781497,{BUY},0.0091094472691873579,"{HOLD,SELL}",True
AAPL:2023-05-05,AAPL,TRAIN,2023-05-05,LONG,0.0029117546019844951,"{BUY,HOLD}",0.0029117546019844552,"{BUY,HOLD}",0.0029117546019844552,"{BUY,HOLD}",False
AAPL:2023-05-12,AAPL,TRAIN,2023-05-12,CASH,0.010484069032138544,{BUY},0.010484069032138544,{BUY},0.0041694382804974891,{BUY},False
AAPL:2023-05-12,AAPL,TRAIN,2023-05-12,LONG,0.012484069198804945,"{BUY,HOLD}",0.012484069198805087,"{BUY,HOLD}",0.012484069198805087,"{BUY,HOLD}",False
AAPL:2023-05-19,AAPL,TRAIN,2023-05-19,CASH,0.0072999858818416806,{BUY},0.0072999858818416806,{BUY},0.0079710150815187099,"{HOLD,SELL}",True
AAPL:2023-05-19,AAPL,TRAIN,2023-05-19,LONG,0.0092999860485081867,"{BUY,HOLD}",0.0092999860485082839,"{BUY,HOLD}",0.0092999860485082839,"{BUY,HOLD}",False
AAPL:2023-05-26,AAPL,TRAIN,2023-05-26,CASH,0.013697294837115561,{BUY},0.013697294837115561,{BUY},0.0060973630752189515,{BUY},False
AAPL:2023-05-26,AAPL,TRAIN,2023-05-26,LONG,0.015697295003781898,"{BUY,HOLD}",0.015697295003781923,"{BUY,HOLD}",0.015697295003781923,"{BUY,HOLD}",False
AAPL:2023-06-02,AAPL,TRAIN,2023-06-02,CASH,0.010185975724888618,"{HOLD,SELL}",0.010185975724888618,"{HOLD,SELL}",0.036876407013299667,"{HOLD,SELL}",False
AAPL:2023-06-02,AAPL,TRAIN,2023-06-02,LONG,0.0081859755582220587,{SELL},0.0081859755582218974,{SELL},0.0081859755582218974,{SELL},False
AAPL:2023-06-09,AAPL,TRAIN,2023-06-09,CASH,0.01893588310643594,{BUY},0.01893588310643594,{BUY},0.013058766351965248,{BUY},False
AAPL:2023-06-09,AAPL,TRAIN,2023-06-09,LONG,0.020935883273102477,"{BUY,HOLD}",0.020935883273102484,"{BUY,HOLD}",0.020935883273102484,"{BUY,HOLD}",False
AAPL:2023-06-16,AAPL,TRAIN,2023-06-16,CASH,0.0036529340369739018,{BUY},0.0036529340369739018,{BUY},0.0056414390463214708,"{HOLD,SELL}",True
AAPL:2023-06-16,AAPL,TRAIN,2023-06-16,LONG,0.0056529342036401552,"{BUY,HOLD}",0.0056529342036401083,"{BUY,HOLD}",0.0056529342036401083,"{BUY,HOLD}",False
AAPL:2023-06-30,AAPL,VALIDATION,2023-06-30,CASH,0.028041844603323336,"{HOLD,SELL}",0.028041844603323336,"{HOLD,SELL}",0.055083939123344874,"{HOLD,SELL}",False
AAPL:2023-06-30,AAPL,VALIDATION,2023-06-30,LONG,0.02604184443665709,{SELL},0.026041844436657031,{SELL},0.026041844436657031,{SELL},False
AAPL:2023-07-07,AAPL,VALIDATION,2023-07-07,CASH,0.0065276333295708746,{BUY},0.0065276333295708746,{BUY},0.00027334511224582584,{BUY},False
