session,normalized_equity
2024-01-05,1.0
2024-01-08,1.0
2024-01-09,1.0
2024-01-10,1.0
2024-01-11,1.0
2024-01-12,1.0
2024-01-16,1.0
2024-01-17,1.0
2024-01-18,1.0
2024-01-19,1.0
2024-01-22,1.0
2024-01-23,1.0
2024-01-24,1.0
2024-01-25,1.0
2024-01-26,1.0
2024-01-29,1.0
2024-01-30,1.0
2024-01-31,1.0
2024-02-01,1.0
2024-02-02,1.0
2024-02-05,1.0
2024-02-06,1.0
2024-02-07,1.0
2024-02-08,1.0
2024-02-09,1.0
2024-02-12,1.0
2024-02-13,1.0
2024-02-14,1.0
2024-02-15,1.0
2024-02-16,1.0
2024-02-20,1.0
2024-02-21,1.0
2024-02-22,1.0
2024-02-23,1.0
2024-02-26,1.0
2024-02-27,1.0
2024-02-28,1.0
2024-02-29,1.0
2024-03-01,1.0
2024-03-04,0.9997607091639072
2024-03-05,0.9932706336650425
2024-03-06,0.9921264306933105
2024-03-07,0.9983351565244508
2024-03-08,0.995577815398082
2024-03-11,0.9892190554433379
2024-03-12,0.9956528324598839
2024-03-13,0.9978474457395449
2024-03-14,1.0019553224435682
2024-03-15,0.9938333616993246
2024-03-18,0.9939459014538699
2024-03-19,0.9966094499164355
2024-03-20,1.0008298665625783
2024-03-21,1.0008298665625783
2024-03-22,1.002180402140233
2024-03-25,1.0037560461133854
2024-03-26,1.001111244929136
2024-03-27,1.0039811258100502
2024-03-28,1.005012789027237
2024-04-01,1.0061194691186515
2024-04-02,1.0055942639646869
2024-04-03,1.0088205404615345
2024-04-04,1.004299998358092
2024-04-05,1.013810017560308
2024-04-08,1.0140350972569727
2024-04-09,1.0149354449300387
2024-04-10,1.015460649896429
2024-04-11,1.0212754577940404
2024-04-12,1.0157982982340463
2024-04-15,1.0110901706154234
2024-04-16,1.0105274712799746
2024-04-17,1.0067009442436754
2024-04-18,1.002836922838318
2024-04-19,0.9942272798204274
2024-04-22,0.9982284256249535
2024-04-23,0.9982284256249535
2024-04-24,0.9982284256249535
2024-04-25,0.9982284256249535
2024-04-26,0.9982284256249535
2024-04-29,0.9982284256249535
2024-04-30,0.9982284256249535
2024-05-01,0.9982284256249535
2024-05-02,0.9982284256249535
2024-05-03,0.9982284256249535
2024-05-06,1.0022001886784435
2024-05-07,1.0023068723370072
2024-05-08,1.0009555017197107
2024-05-09,1.0036226998717297
2024-05-10,1.0000308653810428
2024-05-13,0.9984127857951504
2024-05-14,0.9993018518458233
2024-05-15,0.997381465975732
2024-05-16,0.9931850731496761
2024-05-17,0.9950876602730595
2024-05-20,0.9783383415061446
2024-05-21,0.9840640785523781
2024-05-22,0.9820571448216171
2024-05-23,0.9760939849947704
2024-05-24,0.9817353712092478
2024-05-28,0.9822533546563391
2024-05-29,0.9797575741203287
2024-05-30,0.9769442968629427
2024-05-31,0.9771997629278144
2024-06-03,0.9792585230309249
2024-06-04,0.976702872334883
2024-06-05,0.9770568831163029
2024-06-06,0.9831013178492127
2024-06-07,0.9868095077340815
2024-06-10,0.9911632071698788
2024-06-11,0.9829119791457765
2024-06-12,0.9776966702394622
2024-06-13,0.975725878284731
2024-06-14,0.97561909995646
2024-06-17,0.9782854242375514
2024-06-18,0.9793538298018972
2024-06-20,0.9879247264752573
2024-06-21,0.9893622629824163
2024-06-24,0.9873244697953218
2024-06-25,0.987373931911064
2024-06-26,0.9992582229000941
2024-06-27,1.0096323983901563
2024-06-28,1.0064873237440108
2024-07-01,1.014125509539779
2024-07-02,1.0191042849357574
2024-07-03,1.0148189799924248
2024-07-05,1.0191042849357574
