experiment_id,run_id,case_id,symbol,decision_session,decision_time_utc,execution_session,action,decision_status,rebalance_status,provider,quick_model,deep_model,thinking_mode,temperature,research_depth,debate_rounds,risk_rounds,graph_config_sha256,portfolio_equity_before,portfolio_weight_before,report_path,source_audit_path,cache_key,cache_status,wall_clock_seconds,prompt_tokens,prompt_cache_hit_tokens,prompt_cache_miss_tokens,completion_tokens,reasoning_tokens,total_tokens
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-01-05,AAPL,2024-01-05,2024-01-05T21:00:00+00:00,2024-01-08,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-01-05/reports,strategy/cases/AAPL/2024-01-05/source_audit.json,9cba27326052cacd47eaba93ecbf74d39b272af5460e11f0e814454b1c8d4e31,hit,2.4230858799999737,324357,116608,207749,39616,,363973
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-01-12,AAPL,2024-01-12,2024-01-12T21:00:00+00:00,2024-01-16,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-01-12/reports,strategy/cases/AAPL/2024-01-12/source_audit.json,257ec021c1c68575ef58ba6479fdd8865ca4495223b90199838548b1e943b497,hit,0.01911984499997743,302992,84608,218384,39972,,342964
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-01-19,AAPL,2024-01-19,2024-01-19T21:00:00+00:00,2024-01-22,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-01-19/reports,strategy/cases/AAPL/2024-01-19/source_audit.json,f372ee36260cf3d00c8753d40da4cb7cd6a57c5b195b4493f5e09a96f5e977df,hit,0.020153158000027815,296399,79616,216783,38461,,334860
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-01-26,AAPL,2024-01-26,2024-01-26T21:00:00+00:00,2024-01-29,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-01-26/reports,strategy/cases/AAPL/2024-01-26/source_audit.json,096b163e60c0b1127ea2fa68707e1733ae4a5e47ffe7322b795c763d852aff2e,hit,0.02048327900001823,300028,92288,207740,36291,,336319
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-02-02,AAPL,2024-02-02,2024-02-02T21:00:00+00:00,2024-02-05,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-02-02/reports,strategy/cases/AAPL/2024-02-02/source_audit.json,74483831dd89431251a7ed412d128b2d943971b1e770bb9a6c251be12956fed4,hit,0.02005076199998257,287570,79744,207826,34440,,322010
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-02-09,AAPL,2024-02-09,2024-02-09T21:00:00+00:00,2024-02-12,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-02-09/reports,strategy/cases/AAPL/2024-02-09/source_audit.json,bbfab97053769e014baf5a4f6e61a9b34ef968aa937fe719cc6345f6ddaf5a44,hit,0.019613695999964875,296006,82176,213830,37812,,333818
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-02-16,AAPL,2024-02-16,2024-02-16T21:00:00+00:00,2024-02-20,SELL,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-02-16/reports,strategy/cases/AAPL/2024-02-16/source_audit.json,ccf4781a2329c147d10c29d00d793dace5560161d611d4c617cf8a7de3682634,hit,0.019521489999988262,334267,102528,231739,40455,,374722
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-02-23,AAPL,2024-02-23,2024-02-23T21:00:00+00:00,2024-02-26,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-02-23/reports,strategy/cases/AAPL/2024-02-23/source_audit.json,f0ea198348dcaa7f8f96afd9209102645ecbf9af945c5ee583a69d3aa111fdcc,hit,0.019538600999965183,328673,91008,237665,41604,,370277
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-03-01,AAPL,2024-03-01,2024-03-01T21:00:00+00:00,2024-03-04,SELL,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-03-01/reports,strategy/cases/AAPL/2024-03-01/source_audit.json,ac5d9128fd73ca25f10de81a0dc399a6a8383f455b9790e8df6c5aca6ab197d6,hit,0.01932216700004119,294665,81664,213001,38059,,332724
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-03-08,AAPL,2024-03-08,2024-03-08T21:00:00+00:00,2024-03-11,SELL,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-03-08/reports,strategy/cases/AAPL/2024-03-08/source_audit.json,c3d30090a05089775eb34afaea5617af092986ff3131201a4a577569d0dd9286,hit,0.020071032999965155,349635,104064,245571,46276,,395911
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-03-15,AAPL,2024-03-15,2024-03-15T20:00:00+00:00,2024-03-18,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-03-15/reports,strategy/cases/AAPL/2024-03-15/source_audit.json,9747849844d40629c13c4e2c79919f8695b0787821633f56d72d987f7af419df,hit,0.019291366000004473,287235,83712,203523,36195,,323430
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-03-22,AAPL,2024-03-22,2024-03-22T20:00:00+00:00,2024-03-25,SELL,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-03-22/reports,strategy/cases/AAPL/2024-03-22/source_audit.json,aef1dde8e6cf2049d4ce44298f6a1517c2b75ed3c3e6a850d27a1a77ba8b11ad,hit,0.019251752999991822,306272,86912,219360,39976,,346248
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-03-28,AAPL,2024-03-28,2024-03-28T20:00:00+00:00,2024-04-01,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-03-28/reports,strategy/cases/AAPL/2024-03-28/source_audit.json,996c36e15b38cf1535b67e79dbbc30210ef5bc0aa8320fa7325ef601351fb4cc,hit,0.01994329599995126,347297,104192,243105,43457,,390754
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-04-05,AAPL,2024-04-05,2024-04-05T20:00:00+00:00,2024-04-08,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-04-05/reports,strategy/cases/AAPL/2024-04-05/source_audit.json,eed76441c25b5985f325905a07a17461f9723a75b60182b1b50ead4364cdb0ce,hit,0.019295396000018172,309706,91264,218442,35735,,345441
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-04-12,AAPL,2024-04-12,2024-04-12T20:00:00+00:00,2024-04-15,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-04-12/reports,strategy/cases/AAPL/2024-04-12/source_audit.json,73fbd6cd00c86bc30a0b641fcf0f3bfede04c284b018081043e8c97cbfa3d0a1,hit,0.020077544000002945,308074,87040,221034,37571,,345645
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-04-19,AAPL,2024-04-19,2024-04-19T20:00:00+00:00,2024-04-22,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-04-19/reports,strategy/cases/AAPL/2024-04-19/source_audit.json,4ccee482f829183d6603998075aa89ddf778969d6ef28bc309457c2c57344f4c,hit,0.020649118999983784,320594,86272,234322,39529,,360123
M2_agentic_rl_2024H1,20260817T101217082243Z_6306ea4e,AAPL:2024-04-26,AAPL,2024-04-26,2024-04-26T20:00:00+00:00,2024-04-29,HOLD,cached,noop,deepseek,deepseek-v4-flash,deepseek-v4-flash,disabled,0.0,medium,3,3,2fb23245ec9ef29b546819454de81b85ffeb064c8c7f8a7de722545d4bb9f5ae,100000.0,0.0,strategy/cases/AAPL/2024-04-26/reports,strategy/cases/AAPL/2024-04-26/source_audit.json,1bab22252e7b1db24319477a76aed21a568854cd34035d1ccabc902c58905b43,hit,0.02007644299999356,299030,80768,218262,36629,,335659
