Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-01-04,383.1799927,385.8800049,380,383.7600098,85934100,0,0
2023-01-05,381.7200012,381.8399963,378.7600098,379.3800049,76970500,0,0
2023-01-06,382.6099854,389.25,379.4100037,388.0799866,104189600,0,0
2023-01-09,390.3699951,393.7000122,387.6700134,387.8599854,73978100,0,0
2023-01-10,387.25,390.6499939,386.269989,390.5799866,65358100,0,0
2023-01-11,392.230011,395.6000061,391.3800049,395.519989,68881100,0,0
2023-01-12,396.6700134,398.4899902,392.4200134,396.9599915,90157700,0,0
2023-01-13,393.6199951,399.1000061,393.3399963,398.5,63903900,0,0
2023-01-17,398.480011,400.230011,397.0599976,397.769989,62677300,0,0
2023-01-18,399.0100098,400.1199951,391.2799988,391.4899902,99632300,0,0
2023-01-19,389.3599854,391.0799866,387.2600098,388.6400146,86958900,0,0
2023-01-20,390.1000061,396.0400085,388.3800049,395.8800049,91806400,0,0
2023-01-23,396.7200012,402.6499939,395.7200012,400.6300049,84178800,0,0
2023-01-24,398.8800049,401.1499939,397.6400146,400.2000122,59524900,0,0
2023-01-25,395.9500122,400.7000122,393.5599976,400.3500061,84800300,0,0
2023-01-26,403.1300049,404.9200134,400.0299988,404.75,72287400,0,0
2023-01-27,403.6600037,408.1600037,403.4400024,405.6799927,68346200,0,0
2023-01-30,402.7999878,405.1300049,400.2799988,400.5899963,74202000,0,0
2023-01-31,401.1300049,406.5299988,400.769989,406.480011,86811800,0,0
2023-02-01,405.2099915,413.6700134,402.3500061,410.7999878,101459200,0,0
2023-02-02,414.8599854,418.3099976,412.8800049,416.7799988,101654500,0,0
2023-02-03,411.5899963,416.9700012,411.0899963,412.3500061,94736800,0,0
2023-02-06,409.7900085,411.2900085,408.1000061,409.8299866,60295300,0,0
2023-02-07,408.8699951,416.4899902,407.5700073,415.1900024,90990700,0,0
2023-02-08,413.1300049,414.5299988,409.9299927,410.6499939,76227500,0,0
2023-02-09,414.4100037,414.5700073,405.8099976,407.0899963,78694900,0,0
2023-02-10,405.8599854,408.4400024,405.0100098,408.0400085,70769700,0,0
2023-02-13,408.7200012,412.9700012,408.2399902,412.8299866,64913500,0,0
2023-02-14,411.2399902,415.0499878,408.5100098,412.6400146,88389300,0,0
2023-02-15,410.3500061,414.0599976,409.4700012,413.980011,61555700,0,0
2023-02-16,408.7900085,412.9100037,408.1400146,408.2799988,76431500,0,0
2023-02-17,406.0599976,407.5100098,404.0499878,407.2600098,89257800,0,0
2023-02-21,403.0599976,404.1600037,398.8200073,399.0899963,82655900,0,0
2023-02-22,399.519989,401.1300049,397.019989,398.5400085,83742300,0,0
